StartTime,FromNode,ToNode,SourcePort,DestinationPort,Size,Priority
1000157904ns,h16,h23,2,1,3332655B,0
1000164084ns,h4,h23,2,1,1579544B,0
1000181288ns,h13,h20,2,1,54747B,0
1000197912ns,h8,h22,2,1,25891B,0
1000284249ns,h6,h23,2,1,75678B,0
1000298832ns,h3,h23,2,1,51138B,0
1000354518ns,h9,h22,2,1,1837985B,0
1000384724ns,h12,h23,2,1,30662B,0
1000392056ns,h5,h22,2,1,67676B,0
1000479470ns,h10,h21,2,1,171512B,0
1000487560ns,h6,h21,2,1,5579491B,0
1000527503ns,h15,h22,2,1,74158B,0
1000537592ns,h10,h21,2,2,28183B,0
1000741933ns,h5,h20,2,1,1558042B,0
1000771998ns,h14,h22,2,1,346951B,0
1000776841ns,h2,h21,2,1,25050B,0
1000799398ns,h6,h22,2,1,5696161B,0
1000838673ns,h7,h20,2,1,18523650B,0
1000964647ns,h6,h20,2,1,2306517B,0
1001015481ns,h3,h22,2,1,5154710B,0
1001015538ns,h12,h23,2,2,32029B,0
1001018868ns,h1,h20,2,1,1298317B,0
1001023224ns,h3,h22,2,2,4965148B,0
1001044374ns,h15,h23,2,1,871871B,0
1001091330ns,h13,h22,2,1,66648B,0
1001091956ns,h13,h21,2,1,6713B,0
1001126948ns,h14,h23,2,1,57885B,0
1001297523ns,h1,h23,2,1,287095B,0
1001307227ns,h11,h22,2,1,5929360B,0
1001400329ns,h6,h20,2,2,9757597B,0
1001450629ns,h1,h20,2,2,67771B,0
1001464534ns,h13,h20,2,2,3959297B,0
1001470798ns,h8,h23,2,1,26049B,0
1001474953ns,h16,h20,2,1,2150834B,0
1001522622ns,h11,h23,2,1,112055B,0
1001566741ns,h1,h22,2,1,936B,0
1001609088ns,h9,h21,2,1,1197046B,0
1001620083ns,h8,h22,2,2,49764B,0
1001648421ns,h15,h20,2,1,2745349B,0
1001655013ns,h9,h21,2,2,745225B,0
1001712036ns,h12,h21,2,1,76B,0
1001733943ns,h7,h21,2,1,71594B,0
1001775270ns,h12,h21,2,2,4028083B,0
1001831315ns,h8,h23,2,2,24391B,0
1001874657ns,h2,h20,2,1,35040B,0
1001874817ns,h10,h20,2,1,4114136B,0
1001892098ns,h1,h22,2,2,18213B,0
1001923531ns,h13,h23,2,1,144304B,0
1001977189ns,h3,h20,2,1,23861B,0
1002036754ns,h15,h22,2,2,9824303B,0
1002172750ns,h7,h22,2,1,2095384B,0
1002234167ns,h14,h20,2,1,61069B,0
1002265472ns,h8,h22,2,3,5363B,0
1002300381ns,h10,h21,2,3,34010B,0
1002359163ns,h15,h22,2,3,74909B,0
1002388436ns,h4,h23,2,2,7345273B,0
1002412725ns,h11,h20,2,1,7270B,0
1002429670ns,h13,h23,2,2,116458B,0
1002446675ns,h12,h22,2,1,1065614B,0
1002462254ns,h3,h21,2,1,109898B,0
1002474142ns,h15,h22,2,4,2434005B,0
1002488182ns,h10,h21,2,4,97629B,0
1002500285ns,h14,h21,2,1,9559896B,0
1002501620ns,h4,h21,2,1,225485B,0
1002513792ns,h3,h20,2,2,178772B,0
1002519542ns,h6,h22,2,2,60382B,0
1002603438ns,h5,h23,2,1,193634B,0
1002669450ns,h7,h20,2,2,46980B,0
1002734874ns,h8,h20,2,1,158258B,0
1002797101ns,h2,h21,2,2,29032B,0
1002801124ns,h12,h21,2,3,17878B,0
1002932257ns,h11,h20,2,2,17345B,0
1002941291ns,h7,h20,2,3,302185B,0
1002973679ns,h2,h23,2,1,653275B,0
1003015072ns,h13,h22,2,2,67660B,0
1003029379ns,h5,h21,2,1,5988B,0
1003133853ns,h9,h21,2,3,1576039B,0
1003250190ns,h15,h23,2,2,4303111B,0
1003351991ns,h16,h22,2,1,6670072B,0
1003403899ns,h8,h23,2,3,3273806B,0
1003461652ns,h2,h23,2,2,4945193B,0
1003461789ns,h9,h22,2,2,6648745B,0
1003504024ns,h5,h20,2,2,98171B,0
1003508863ns,h9,h22,2,3,48259B,0
1003513627ns,h4,h20,2,1,1052833B,0
1003634695ns,h10,h23,2,1,27563B,0
1003709999ns,h1,h22,2,3,2348861B,0
1003715254ns,h12,h21,2,4,3484578B,0
1003764773ns,h3,h21,2,2,4851169B,0
1003832994ns,h3,h20,2,3,182516B,0
1003841341ns,h15,h22,2,5,8554633B,0
1003862472ns,h1,h20,2,3,165191B,0
1003873781ns,h9,h21,2,4,61668B,0
1003907020ns,h14,h22,2,2,681963B,0
1003924147ns,h6,h21,2,2,27505226B,0
1003965085ns,h14,h22,2,3,6210086B,0
1003969246ns,h11,h23,2,2,1933250B,0
1003969374ns,h3,h20,2,4,5491B,0
1003994593ns,h11,h20,2,3,302264B,0
1004010801ns,h6,h21,2,3,69948B,0
1004023570ns,h5,h21,2,2,441178B,0
1004058297ns,h4,h20,2,2,3352327B,0
1004073114ns,h4,h20,2,3,24303B,0
1004083850ns,h1,h20,2,4,1314892B,0
1004175672ns,h7,h20,2,4,7808B,0
1004325002ns,h2,h21,2,3,22046B,0
1004429164ns,h6,h20,2,3,1945829B,0
1004435273ns,h12,h23,2,3,36507B,0
1004436477ns,h3,h20,2,5,2477392B,0
1004456776ns,h3,h22,2,3,6707B,0
1004468754ns,h3,h20,2,6,9757B,0
1004594357ns,h1,h20,2,5,981365B,0
1004596765ns,h2,h20,2,2,3015B,0
1004620145ns,h14,h21,2,2,155198B,0
1004625016ns,h4,h21,2,2,5715429B,0
1004645463ns,h7,h20,2,5,87196B,0
1004648533ns,h5,h23,2,2,844713B,0
1004652965ns,h13,h21,2,2,1779B,0
1004655876ns,h10,h20,2,2,479999B,0
1004661153ns,h5,h20,2,3,250707B,0
1004669195ns,h2,h23,2,3,158776B,0
1004682296ns,h6,h20,2,4,48241B,0
1004706359ns,h1,h22,2,4,44027B,0
1004708034ns,h15,h20,2,2,17011100B,0
1004714484ns,h10,h21,2,5,2426B,0
1004749626ns,h14,h20,2,2,1442B,0
1004766440ns,h8,h22,2,4,9359377B,0
1004771625ns,h14,h22,2,4,16994B,0
1004800510ns,h9,h23,2,1,8259B,0
1004805834ns,h2,h21,2,4,21057B,0
1004816918ns,h15,h20,2,3,2022397B,0
1004824696ns,h8,h23,2,4,7640654B,0
1004825978ns,h5,h20,2,4,1518B,0
1004922262ns,h9,h20,2,1,55912B,0
1004942503ns,h1,h23,2,2,6766B,0
1004956588ns,h13,h21,2,3,25991B,0
1005023916ns,h9,h22,2,4,22082B,0
1005048986ns,h2,h22,2,1,575405B,0
1005056664ns,h9,h23,2,2,40058B,0
1005098048ns,h10,h21,2,6,16063B,0
1005252389ns,h6,h21,2,4,73916B,0
1005313281ns,h11,h20,2,4,2625B,0
1005327506ns,h10,h21,2,7,6728B,0
1005410425ns,h6,h21,2,5,22156765B,0
1005508392ns,h4,h22,2,1,19871B,0
1005515648ns,h6,h22,2,3,41711B,0
1005537160ns,h15,h20,2,4,1315983B,0
1005554006ns,h1,h23,2,3,3149796B,0
1005647282ns,h10,h21,2,8,6320147B,0
1005666478ns,h2,h20,2,3,13884B,0
1005804491ns,h6,h23,2,2,781124B,0
1005810666ns,h11,h23,2,3,9753493B,0
1005822520ns,h8,h22,2,5,3870B,0
1005851625ns,h10,h22,2,1,809614B,0
1005857733ns,h4,h23,2,3,3362737B,0
1005858477ns,h10,h22,2,2,38462B,0
1005908433ns,h2,h21,2,5,25068B,0
1005934046ns,h2,h20,2,4,194499B,0
1005943074ns,h1,h23,2,4,59764B,0
1005968882ns,h11,h20,2,5,14963B,0
