StartTime,FromNode,ToNode,SourcePort,DestinationPort,Size,Priority
1000015873ns,h16,h23,2,1,64653B,0
1000016495ns,h4,h23,2,1,37590B,0
1000018224ns,h13,h20,2,1,620B,0
1000019895ns,h8,h22,2,1,458B,0
1000028575ns,h6,h23,2,1,733B,0
1000030041ns,h3,h23,2,1,604B,0
1000035639ns,h9,h22,2,1,42759B,0
1000038675ns,h12,h23,2,1,503B,0
1000039412ns,h5,h22,2,1,676B,0
1000048200ns,h10,h21,2,1,950B,0
1000049013ns,h6,h21,2,1,149206B,0
1000053029ns,h15,h22,2,1,714B,0
1000054042ns,h10,h21,2,2,481B,0
1000074584ns,h5,h20,2,1,37160B,0
1000077607ns,h14,h22,2,1,1262B,0
1000078094ns,h2,h21,2,1,450B,0
1000080361ns,h6,h22,2,1,155086B,0
1000084310ns,h7,h20,2,1,1519031B,0
1000096973ns,h6,h20,2,1,48043B,0
1000102084ns,h3,h22,2,1,127797B,0
1000102089ns,h12,h23,2,2,510B,0
1000102425ns,h1,h20,2,1,31966B,0
1000102862ns,h3,h22,2,2,118451B,0
1000104989ns,h15,h23,2,1,4330B,0
1000109709ns,h13,h22,2,1,672B,0
1000109771ns,h13,h21,2,1,325B,0
1000113289ns,h14,h23,2,1,634B,0
1000130437ns,h1,h23,2,1,1155B,0
1000131413ns,h11,h22,2,1,166839B,0
1000140771ns,h6,h20,2,2,764978B,0
1000145828ns,h1,h20,2,2,677B,0
1000147225ns,h13,h20,2,2,77185B,0
1000147856ns,h8,h23,2,1,460B,0
1000148274ns,h16,h20,2,1,47005B,0
1000153066ns,h11,h23,2,1,846B,0
1000157500ns,h1,h22,2,1,140B,0
1000161759ns,h9,h21,2,1,29660B,0
1000162863ns,h8,h22,2,2,598B,0
1000165713ns,h15,h20,2,1,52906B,0
1000166375ns,h9,h21,2,2,1973B,0
1000172107ns,h12,h21,2,1,11B,0
1000174310ns,h7,h21,2,1,693B,0
1000178463ns,h12,h21,2,2,78561B,0
1000184097ns,h8,h23,2,2,443B,0
1000188456ns,h2,h20,2,1,525B,0
1000188471ns,h10,h20,2,1,80628B,0
1000190207ns,h1,h22,2,2,391B,0
1000193367ns,h13,h23,2,1,902B,0
1000198762ns,h3,h20,2,1,438B,0
