StartTime,FromNode,ToNode,SourcePort,DestinationPort,Size,Priority
1000131587ns,h32,h29,1,1,3332655B,0
1000136736ns,h20,h30,1,1,1579544B,0
1000151073ns,h29,h18,1,1,54747B,0
1000164927ns,h24,h25,1,1,25891B,0
1000236874ns,h22,h32,1,1,75678B,0
1000249027ns,h19,h29,1,1,51138B,0
1000295431ns,h25,h26,1,1,1837985B,0
1000320603ns,h28,h32,1,1,30662B,0
1000326714ns,h21,h28,1,1,67676B,0
1000399558ns,h26,h23,1,1,171512B,0
1000406300ns,h22,h21,1,1,5579491B,0
1000439586ns,h31,h26,1,1,74158B,0
1000447993ns,h26,h21,1,1,28183B,0
1000618278ns,h21,h20,1,1,1558042B,0
1000643331ns,h30,h25,1,1,346951B,0
1000647367ns,h18,h21,1,1,25050B,0
1000666165ns,h22,h26,1,1,5696161B,0
1000698894ns,h23,h20,1,1,18523650B,0
1000803872ns,h22,h19,1,1,2306517B,0
1000846235ns,h19,h27,1,1,5154710B,0
1000846281ns,h28,h32,1,2,32029B,0
1000849057ns,h17,h20,1,1,1298317B,0
1000852688ns,h19,h28,1,1,4965148B,0
1000870312ns,h31,h30,1,1,871871B,0
1000909442ns,h29,h27,1,1,66648B,0
1000909963ns,h29,h23,1,1,6713B,0
1000939122ns,h30,h32,1,1,57885B,0
1001081269ns,h17,h31,1,1,287095B,0
1001089356ns,h27,h25,1,1,5929360B,0
1001166940ns,h22,h18,1,1,9757597B,0
1001208857ns,h17,h19,1,1,67771B,0
1001220445ns,h29,h17,1,1,3959297B,0
1001225665ns,h24,h32,1,1,26049B,0
1001229128ns,h32,h27,1,1,2150834B,0
1001268852ns,h27,h24,1,1,112055B,0
1001305617ns,h17,h27,1,1,936B,0
1001340906ns,h25,h19,1,1,1197046B,0
1001350069ns,h24,h23,1,1,49764B,0
1001373685ns,h31,h24,1,1,2745349B,0
1001379176ns,h25,h24,1,1,745225B,0
1001426696ns,h28,h21,1,1,76B,0
1001444952ns,h23,h31,1,1,71594B,0
1001479391ns,h28,h19,1,1,4028083B,0
1001526096ns,h24,h19,1,1,24391B,0
1001562214ns,h18,h27,1,1,35040B,0
1001562347ns,h26,h32,1,1,4114136B,0
1001576748ns,h17,h20,1,2,18213B,0
1001602942ns,h29,h26,1,1,144304B,0
1001647658ns,h19,h26,1,1,23861B,0
1001697296ns,h31,h20,1,1,9824303B,0
1001810624ns,h23,h27,1,1,2095384B,0
1001861804ns,h30,h23,1,1,61069B,0
1001887893ns,h24,h26,1,1,5363B,0
1001916984ns,h26,h31,1,1,34010B,0
1001965970ns,h31,h19,1,1,74909B,0
1001990362ns,h20,h29,1,1,7345273B,0
1002010604ns,h27,h24,1,2,7270B,0
1002024724ns,h29,h26,1,2,116458B,0
1002038895ns,h28,h22,1,1,1065614B,0
1002051879ns,h19,h23,1,1,109898B,0
1002061786ns,h31,h22,1,1,2434005B,0
1002073485ns,h26,h18,1,1,97629B,0
1002083569ns,h30,h25,1,2,9559896B,0
1002084682ns,h20,h32,1,1,225485B,0
1002094828ns,h19,h21,1,1,178772B,0
1002099617ns,h22,h21,1,2,60382B,0
1002169532ns,h21,h18,1,1,193634B,0
1002224541ns,h23,h19,1,1,46980B,0
1002279061ns,h24,h29,1,1,158258B,0
1002330917ns,h18,h25,1,1,29032B,0
1002334269ns,h28,h24,1,1,17878B,0
1002443547ns,h27,h23,1,1,17345B,0
1002451075ns,h23,h30,1,1,302185B,0
1002478065ns,h18,h25,1,2,653275B,0
1002512559ns,h29,h31,1,1,67660B,0
1002524483ns,h21,h32,1,1,5988B,0
1002611543ns,h25,h28,1,1,1576039B,0
1002708493ns,h31,h19,1,2,4303111B,0
1002793326ns,h32,h27,1,2,6670072B,0
1002836582ns,h24,h20,1,1,3273806B,0
1002884709ns,h18,h32,1,1,4945193B,0
1002884823ns,h25,h27,1,1,6648745B,0
1002920021ns,h21,h23,1,1,98171B,0
1002924051ns,h25,h24,1,2,48259B,0
1002928021ns,h20,h17,1,1,1052833B,0
1003028912ns,h26,h25,1,1,27563B,0
1003091665ns,h17,h20,1,3,2348861B,0
1003096044ns,h28,h24,1,2,3484578B,0
1003137312ns,h19,h28,1,2,4851169B,0
1003194163ns,h19,h22,1,1,182516B,0
1003201119ns,h31,h27,1,1,8554633B,0
1003218726ns,h17,h30,1,1,165191B,0
1003228149ns,h25,h18,1,1,61668B,0
1003255848ns,h30,h20,1,1,681963B,0
1003270121ns,h22,h21,1,3,27505226B,0
1003304235ns,h30,h24,1,1,6210086B,0
1003307704ns,h27,h18,1,1,1933250B,0
1003307813ns,h19,h17,1,1,5491B,0
1003328827ns,h27,h20,1,1,302264B,0
1003342332ns,h22,h23,1,1,69948B,0
1003352976ns,h21,h20,1,2,441178B,0
1003381913ns,h20,h29,1,2,3352327B,0
1003394261ns,h20,h19,1,1,24303B,0
1003403207ns,h17,h28,1,1,1314892B,0
1003479726ns,h23,h20,1,2,7808B,0
1003604167ns,h18,h17,1,1,22046B,0
1003690968ns,h22,h23,1,2,1945829B,0
1003696060ns,h28,h22,1,2,36507B,0
