StartTime,FromNode,ToNode,SourcePort,DestinationPort,Size,Priority
1000006940ns,h26,h13,1,1,22218B,0
1000018856ns,h16,h30,1,1,12621B,0
1000019594ns,h4,h18,1,1,5653B,0
1000021648ns,h13,h25,1,1,4255B,0
1000022572ns,h13,h32,1,1,6437B,0
1000023633ns,h8,h29,1,1,5518B,0
1000024278ns,h21,h10,1,1,14434B,0
1000026673ns,h26,h16,1,1,4639B,0
1000033943ns,h6,h28,1,1,6137B,0
1000034017ns,h6,h23,1,1,7060B,0
1000035685ns,h3,h21,1,1,35569B,0
1000037238ns,h27,h10,1,1,6380B,0
1000041780ns,h25,h5,1,1,4454B,0
1000042334ns,h9,h20,1,1,12470B,0
1000042386ns,h31,h9,1,1,7362B,0
1000045941ns,h12,h21,1,1,4183B,0
1000046817ns,h5,h26,1,1,37277B,0
1000055521ns,h27,h4,1,1,784529B,0
1000056251ns,h31,h3,1,1,16668B,0
1000056908ns,h8,h27,1,1,31588B,0
1000057256ns,h10,h32,1,1,4698B,0
1000061722ns,h28,h4,1,1,10647B,0
1000062740ns,h10,h28,1,1,31048B,0
1000062991ns,h15,h30,1,1,7929B,0
1000064643ns,h5,h27,1,1,6098B,0
1000067501ns,h25,h7,1,1,1756B,0
1000071621ns,h4,h32,1,1,5770B,0
1000072194ns,h5,h31,1,1,7298B,0
1000075328ns,h24,h9,1,1,40691B,0
1000078508ns,h6,h18,1,1,125839B,0
1000085578ns,h22,h1,1,1,6140B,0
1000086946ns,h28,h3,1,1,25608B,0
1000092188ns,h14,h29,1,1,4269B,0
1000092766ns,h2,h17,1,1,15924B,0
1000095760ns,h8,h32,1,1,6760B,0
1000098805ns,h26,h11,1,1,244B,0
1000100150ns,h7,h24,1,1,9937B,0
1000100752ns,h12,h27,1,1,5465B,0
1000105744ns,h13,h19,1,1,19041B,0
1000108672ns,h19,h7,1,1,7793B,0
1000109112ns,h10,h24,1,1,19B,0
1000119474ns,h13,h24,1,1,6284B,0
1000119901ns,h25,h5,1,2,25980B,0
1000121668ns,h1,h31,1,1,4126B,0
1000122187ns,h19,h3,1,1,4828B,0
1000123178ns,h12,h19,1,1,26445B,0
1000124038ns,h5,h27,1,2,3333B,0
1000125764ns,h16,h32,1,1,6923B,0
1000127822ns,h1,h20,1,1,4080B,0
1000129326ns,h6,h26,1,1,127684B,0
1000130583ns,h26,h10,1,1,15795B,0
1000131095ns,h32,h4,1,1,5889B,0
1000131266ns,h2,h27,1,1,1403B,0
1000138195ns,h21,h7,1,1,4784B,0
1000147386ns,h28,h10,1,1,6408B,0
1000149814ns,h23,h15,1,1,61420B,0
1000150112ns,h14,h19,1,1,1902B,0
1000151796ns,h4,h29,1,1,6782B,0
1000152001ns,h20,h11,1,1,9014B,0
1000155073ns,h8,h24,1,1,6749B,0
1000156102ns,h11,h26,1,1,17357B,0
1000156203ns,h7,h22,1,1,6687B,0
1000157275ns,h17,h7,1,1,120372B,0
1000159281ns,h21,h6,1,1,7231B,0
1000159684ns,h29,h2,1,1,7096B,0
1000162227ns,h25,h9,1,1,5864B,0
1000162542ns,h31,h16,1,1,7171B,0
1000163556ns,h32,h3,1,1,5344B,0
1000167848ns,h25,h3,1,1,6993B,0
1000167903ns,h3,h21,1,2,4527B,0
1000171152ns,h10,h21,1,1,3303B,0
1000175984ns,h9,h18,1,1,3257B,0
1000181446ns,h26,h3,1,1,7314B,0
1000185481ns,h24,h13,1,1,7693B,0
1000189359ns,h10,h25,1,1,6136B,0
1000189379ns,h13,h24,1,2,1566B,0
1000189592ns,h26,h7,1,1,12596B,0
1000195262ns,h11,h30,1,1,27467B,0
1000201766ns,h24,h9,1,2,51535B,0
1000202195ns,h11,h31,1,1,21900B,0
1000207132ns,h32,h16,1,1,30940B,0
1000210067ns,h4,h28,1,1,51223B,0
1000210158ns,h32,h3,1,2,6690B,0
1000211157ns,h2,h27,1,2,5400B,0
1000211752ns,h8,h20,1,1,8925B,0
