FromNode,FromPort,ToNode,ToPort,DataRate,Delay
s43,0,s44,0,100Gbps,800us
s44,1,s42,0,100Gbps,1us
s41,0,s43,1,100Gbps,1us
s41,1,s1,0,100Gbps,1us
s41,2,s2,0,100Gbps,1us
s41,3,s3,0,100Gbps,1us
s41,4,s4,0,100Gbps,1us
s1,1,s5,0,100Gbps,1us
s1,2,s6,0,100Gbps,1us
s1,3,s7,0,100Gbps,1us
s1,4,s8,0,100Gbps,1us
s1,5,s9,0,100Gbps,1us
s1,6,s10,0,100Gbps,1us
s1,7,s11,0,100Gbps,1us
s1,8,s12,0,100Gbps,1us
s2,1,s5,1,100Gbps,1us
s2,2,s6,1,100Gbps,1us
s2,3,s7,1,100Gbps,1us
s2,4,s8,1,100Gbps,1us
s2,5,s9,1,100Gbps,1us
s2,6,s10,1,100Gbps,1us
s2,7,s11,1,100Gbps,1us
s2,8,s12,1,100Gbps,1us
s3,1,s5,2,100Gbps,1us
s3,2,s6,2,100Gbps,1us
s3,3,s7,2,100Gbps,1us
s3,4,s8,2,100Gbps,1us
s3,5,s9,2,100Gbps,1us
s3,6,s10,2,100Gbps,1us
s3,7,s11,2,100Gbps,1us
s3,8,s12,2,100Gbps,1us
s4,1,s5,3,100Gbps,1us
s4,2,s6,3,100Gbps,1us
s4,3,s7,3,100Gbps,1us
s4,4,s8,3,100Gbps,1us
s4,5,s9,3,100Gbps,1us
s4,6,s10,3,100Gbps,1us
s4,7,s11,3,100Gbps,1us
s4,8,s12,3,100Gbps,1us
s5,4,s13,0,100Gbps,1us
s5,5,s14,0,100Gbps,1us
s5,6,s15,0,100Gbps,1us
s5,7,s16,0,100Gbps,1us
s6,4,s13,1,100Gbps,1us
s6,5,s14,1,100Gbps,1us
s6,6,s15,1,100Gbps,1us
s6,7,s16,1,100Gbps,1us
s7,4,s13,2,100Gbps,1us
s7,5,s14,2,100Gbps,1us
s7,6,s15,2,100Gbps,1us
s7,7,s16,2,100Gbps,1us
s8,4,s13,3,100Gbps,1us
s8,5,s14,3,100Gbps,1us
s8,6,s15,3,100Gbps,1us
s8,7,s16,3,100Gbps,1us
s9,4,s17,0,100Gbps,1us
s9,5,s18,0,100Gbps,1us
s9,6,s19,0,100Gbps,1us
s9,7,s20,0,100Gbps,1us
s10,4,s17,1,100Gbps,1us
s10,5,s18,1,100Gbps,1us
s10,6,s19,1,100Gbps,1us
s10,7,s20,1,100Gbps,1us
s11,4,s17,2,100Gbps,1us
s11,5,s18,2,100Gbps,1us
s11,6,s19,2,100Gbps,1us
s11,7,s20,2,100Gbps,1us
s12,4,s17,3,100Gbps,1us
s12,5,s18,3,100Gbps,1us
s12,6,s19,3,100Gbps,1us
s12,7,s20,3,100Gbps,1us
s13,4,h1,0,100Gbps,1us
s13,5,h2,0,100Gbps,1us
s13,6,h3,0,100Gbps,1us
s13,7,h4,0,100Gbps,1us
s14,4,h5,0,100Gbps,1us
s14,5,h6,0,100Gbps,1us
s14,6,h7,0,100Gbps,1us
s14,7,h8,0,100Gbps,1us
s15,4,h9,0,100Gbps,1us
s15,5,h10,0,100Gbps,1us
s15,6,h11,0,100Gbps,1us
s15,7,h12,0,100Gbps,1us
s16,4,h13,0,100Gbps,1us
s16,5,h14,0,100Gbps,1us
s16,6,h15,0,100Gbps,1us
s16,7,h16,0,100Gbps,1us
s17,4,h17,0,100Gbps,1us
s17,5,h18,0,100Gbps,1us
s17,6,h19,0,100Gbps,1us
s17,7,h20,0,100Gbps,1us
s18,4,h21,0,100Gbps,1us
s18,5,h22,0,100Gbps,1us
s18,6,h23,0,100Gbps,1us
s18,7,h24,0,100Gbps,1us
s19,4,h25,0,100Gbps,1us
s19,5,h26,0,100Gbps,1us
s19,6,h27,0,100Gbps,1us
s19,7,h28,0,100Gbps,1us
s20,4,h29,0,100Gbps,1us
s20,5,h30,0,100Gbps,1us
s20,6,h31,0,100Gbps,1us
s20,7,h32,0,100Gbps,1us
s42,1,s21,0,100Gbps,1us
s42,2,s22,0,100Gbps,1us
s42,3,s23,0,100Gbps,1us
s42,4,s24,0,100Gbps,1us
s21,1,s25,0,100Gbps,1us
s21,2,s26,0,100Gbps,1us
s21,3,s27,0,100Gbps,1us
s21,4,s28,0,100Gbps,1us
s21,5,s29,0,100Gbps,1us
s21,6,s30,0,100Gbps,1us
s21,7,s31,0,100Gbps,1us
s21,8,s32,0,100Gbps,1us
s22,1,s25,1,100Gbps,1us
s22,2,s26,1,100Gbps,1us
s22,3,s27,1,100Gbps,1us
s22,4,s28,1,100Gbps,1us
s22,5,s29,1,100Gbps,1us
s22,6,s30,1,100Gbps,1us
s22,7,s31,1,100Gbps,1us
s22,8,s32,1,100Gbps,1us
s23,1,s25,2,100Gbps,1us
s23,2,s26,2,100Gbps,1us
s23,3,s27,2,100Gbps,1us
s23,4,s28,2,100Gbps,1us
s23,5,s29,2,100Gbps,1us
s23,6,s30,2,100Gbps,1us
s23,7,s31,2,100Gbps,1us
s23,8,s32,2,100Gbps,1us
s24,1,s25,3,100Gbps,1us
s24,2,s26,3,100Gbps,1us
s24,3,s27,3,100Gbps,1us
s24,4,s28,3,100Gbps,1us
s24,5,s29,3,100Gbps,1us
s24,6,s30,3,100Gbps,1us
s24,7,s31,3,100Gbps,1us
s24,8,s32,3,100Gbps,1us
s25,4,s33,0,100Gbps,1us
