StartTime,FromNode,ToNode,SourcePort,DestinationPort,Size,Priority
1000000186ns,h41,h25,1,1,22218B,0
1000002311ns,h36,h27,1,1,12621B,0
1000013710ns,h53,h3,1,1,5653B,0
1000017351ns,h26,h49,1,1,4255B,0
1000018877ns,h57,h32,1,1,6437B,0
1000034664ns,h47,h26,1,1,5518B,0
1000044567ns,h49,h20,1,1,14434B,0
1000045708ns,h44,h31,1,1,4639B,0
1000047140ns,h16,h55,1,1,6137B,0
1000048985ns,h4,h46,1,1,7060B,0
1000049333ns,h33,h9,1,1,35569B,0
1000054121ns,h13,h51,1,1,6380B,0
1000059084ns,h8,h41,1,1,4454B,0
1000060696ns,h21,h39,1,1,12470B,0
1000063060ns,h54,h17,1,1,7362B,0
1000064303ns,h45,h10,1,1,4183B,0
1000069507ns,h13,h52,1,1,37277B,0
1000078892ns,h49,h7,1,1,784529B,0
1000079497ns,h44,h5,1,1,16668B,0
1000083189ns,h38,h22,1,1,31588B,0
1000084859ns,h6,h63,1,1,4698B,0
1000089212ns,h3,h39,1,1,10647B,0
1000090729ns,h47,h23,1,1,31048B,0
1000093095ns,h27,h60,1,1,7929B,0
1000096797ns,h26,h53,1,1,6098B,0
1000097131ns,h52,h14,1,1,1756B,0
1000098562ns,h36,h31,1,1,5770B,0
1000104451ns,h25,h61,1,1,7298B,0
1000105837ns,h9,h49,1,1,40691B,0
1000105965ns,h31,h36,1,1,125839B,0
1000114854ns,h12,h38,1,1,6140B,0
1000115932ns,h55,h26,1,1,25608B,0
1000117043ns,h5,h33,1,1,4269B,0
1000127047ns,h62,h32,1,1,15924B,0
1000129612ns,h60,h22,1,1,6760B,0
1000130067ns,h35,h16,1,1,244B,0
1000131000ns,h58,h21,1,1,9937B,0
1000131096ns,h5,h37,1,1,5465B,0
1000137027ns,h48,h13,1,1,19041B,0
1000141927ns,h3,h47,1,1,7793B,0
1000143140ns,h10,h48,1,1,19B,0
1000144996ns,h41,h10,1,1,6284B,0
1000151101ns,h64,h29,1,1,25980B,0
1000154305ns,h28,h38,1,1,4126B,0
1000155149ns,h33,h6,1,1,4828B,0
1000157479ns,h15,h53,1,1,26445B,0
1000159011ns,h57,h32,1,2,3333B,0
1000161993ns,h53,h7,1,1,6923B,0
1000162293ns,h3,h52,1,1,4080B,0
1000164343ns,h38,h19,1,1,127684B,0
1000169560ns,h53,h8,1,1,15795B,0
1000172483ns,h33,h22,1,1,5889B,0
1000176614ns,h5,h46,1,1,1403B,0
1000180330ns,h40,h19,1,1,4784B,0
1000181037ns,h5,h61,1,1,6408B,0
1000183348ns,h15,h38,1,1,61420B,0
1000183854ns,h10,h57,1,1,1902B,0
1000188321ns,h24,h53,1,1,6782B,0
1000200439ns,h59,h16,1,1,9014B,0
1000202240ns,h16,h51,1,1,6749B,0
1000203738ns,h9,h44,1,1,17357B,0
1000206656ns,h44,h13,1,1,6687B,0
1000207313ns,h9,h44,1,2,120372B,0
1000207931ns,h37,h3,1,1,7231B,0
1000208300ns,h16,h49,1,1,7096B,0
1000213946ns,h22,h63,1,1,5864B,0
1000217190ns,h64,h5,1,1,7171B,0
1000223749ns,h4,h38,1,1,5344B,0
1000227516ns,h4,h41,1,1,6993B,0
1000229554ns,h37,h10,1,1,4527B,0
1000230470ns,h14,h35,1,1,3303B,0
1000231916ns,h2,h38,1,1,3257B,0
1000238553ns,h60,h26,1,1,7314B,0
1000240749ns,h9,h50,1,1,7693B,0
1000242809ns,h52,h16,1,1,6136B,0
1000246150ns,h25,h46,1,1,1566B,0
1000246955ns,h16,h59,1,1,12596B,0
1000247050ns,h37,h18,1,1,27467B,0
1000250375ns,h7,h61,1,1,51535B,0
1000253522ns,h16,h64,1,1,21900B,0
1000263890ns,h24,h55,1,1,30940B,0
1000264441ns,h37,h6,1,1,51223B,0
1000264985ns,h10,h53,1,1,6690B,0
1000265729ns,h51,h8,1,1,5400B,0
1000267271ns,h34,h32,1,1,8925B,0
1000271682ns,h19,h54,1,1,4400B,0
1000272708ns,h2,h45,1,1,16897B,0
1000275314ns,h52,h16,1,2,23040B,0
1000275384ns,h61,h2,1,1,30432B,0
1000279676ns,h14,h50,1,1,7115B,0
1000282151ns,h62,h8,1,1,92572B,0
1000282445ns,h31,h47,1,1,7028B,0
1000284588ns,h6,h56,1,1,5912B,0
1000284794ns,h39,h11,1,1,7724B,0
1000285090ns,h52,h22,1,1,1735776B,0
1000289869ns,h16,h60,1,1,44801B,0
1000290763ns,h8,h36,1,1,15103B,0
1000292671ns,h35,h7,1,1,1436B,0
1000294457ns,h53,h10,1,1,7314B,0
1000297618ns,h34,h15,1,1,6222B,0
1000301741ns,h3,h35,1,1,7464B,0
1000304170ns,h1,h37,1,1,22324B,0
1000311246ns,h9,h34,1,1,4118B,0
1000316503ns,h52,h8,1,1,10764B,0
1000318159ns,h4,h45,1,1,2043B,0
1000320204ns,h4,h40,1,1,3845B,0
1000323598ns,h15,h58,1,1,15191B,0
1000327739ns,h32,h38,1,1,4892B,0
1000329624ns,h31,h56,1,1,17592B,0
1000330546ns,h43,h8,1,1,1755B,0
1000333442ns,h5,h35,1,1,2553B,0
1000334127ns,h46,h2,1,1,8390B,0
1000335385ns,h32,h45,1,1,789B,0
1000336480ns,h24,h44,1,1,6978B,0
1000345093ns,h40,h8,1,1,37559B,0
1000350652ns,h62,h31,1,1,6635B,0
1000351979ns,h48,h14,1,1,7900B,0
1000354571ns,h57,h4,1,1,465B,0
1000358479ns,h9,h34,1,2,7506B,0
1000358622ns,h34,h28,1,1,7258B,0
1000359058ns,h33,h7,1,1,6996B,0
1000360658ns,h25,h49,1,1,5399B,0
1000360907ns,h25,h37,1,1,5217B,0
1000363631ns,h47,h15,1,1,624333B,0
1000366425ns,h45,h5,1,1,634B,0
1000373674ns,h55,h20,1,1,377B,0
1000373973ns,h3,h55,1,1,114827B,0
1000374536ns,h23,h60,1,1,3226B,0
1000375438ns,h43,h12,1,1,2161B,0
1000376993ns,h8,h36,1,2,3673B,0
1000380004ns,h20,h62,1,1,15624B,0
1000380259ns,h39,h3,1,1,67297B,0
1000383528ns,h31,h39,1,1,397B,0
1000390256ns,h11,h58,1,1,5696B,0
1000390517ns,h15,h45,1,1,1770B,0
1000390887ns,h32,h49,1,1,4264B,0
1000393188ns,h17,h55,1,1,3852B,0
1000394160ns,h16,h63,1,1,7609B,0
1000395822ns,h25,h43,1,1,5045B,0
1000398349ns,h15,h46,1,1,3145B,0
1000399211ns,h29,h36,1,1,6371B,0
1000402675ns,h27,h43,1,1,686B,0
