Time,Node,PortIndex,DropPacket
+1002000000.0ns,s1,1,239
+1002000000.0ns,s1,2,150
+1002000000.0ns,s1,3,236
+1002100000.0ns,s1,1,557
+1002100000.0ns,s1,2,470
+1002100000.0ns,s1,3,573
+1002100000.0ns,s3,4,198
+1002100000.0ns,s3,1,242
+1002100000.0ns,s3,2,244
+1002200000.0ns,s1,1,899
+1002200000.0ns,s1,2,790
+1002200000.0ns,s1,3,967
+1002200000.0ns,s3,4,533
+1002200000.0ns,s3,1,663
+1002200000.0ns,s3,2,563
+1002300000.0ns,s1,1,1351
+1002300000.0ns,s1,2,1195
+1002300000.0ns,s1,3,1375
+1002300000.0ns,s3,4,718
+1002300000.0ns,s3,1,909
+1002300000.0ns,s3,2,740
+1002400000.0ns,s1,1,1784
+1002400000.0ns,s1,2,1602
+1002400000.0ns,s1,3,1694
+1002400000.0ns,s3,4,1074
+1002400000.0ns,s3,1,1303
+1002400000.0ns,s3,2,942
+1002500000.0ns,s1,1,2265
+1002500000.0ns,s1,2,1991
+1002500000.0ns,s1,3,2127
+1002500000.0ns,s3,4,1564
+1002500000.0ns,s3,1,1776
+1002500000.0ns,s3,2,1296
+1002600000.0ns,s1,1,2700
+1002600000.0ns,s1,2,2309
+1002600000.0ns,s1,3,2510
+1002600000.0ns,s3,4,2034
+1002600000.0ns,s3,1,2190
+1002600000.0ns,s3,2,1563
+1002700000.0ns,s1,1,3183
+1002700000.0ns,s1,2,2677
+1002700000.0ns,s1,3,2950
+1002700000.0ns,s3,4,2513
+1002700000.0ns,s3,1,2636
+1002700000.0ns,s3,2,1804
+1002800000.0ns,s1,1,3635
+1002800000.0ns,s1,2,2986
+1002800000.0ns,s1,3,3385
+1002800000.0ns,s3,4,3023
+1002800000.0ns,s3,1,3161
+1002800000.0ns,s3,2,2168
+1002900000.0ns,s1,1,4047
+1002900000.0ns,s1,2,3290
+1002900000.0ns,s1,3,3754
+1002900000.0ns,s3,4,3539
+1002900000.0ns,s3,1,3694
+1002900000.0ns,s3,2,2502
+1003000000.0ns,s1,1,4506
+1003000000.0ns,s1,2,3627
+1003000000.0ns,s1,3,4136
+1003000000.0ns,s3,4,3947
+1003000000.0ns,s3,1,4108
+1003000000.0ns,s3,2,2771
+1003100000.0ns,s1,1,4916
+1003100000.0ns,s1,2,3925
+1003100000.0ns,s1,3,4556
+1003100000.0ns,s3,4,4441
+1003100000.0ns,s3,1,4602
+1003100000.0ns,s3,2,3144
+1003200000.0ns,s1,1,5395
+1003200000.0ns,s1,2,4295
+1003200000.0ns,s1,3,5002
+1003200000.0ns,s3,4,4943
+1003200000.0ns,s3,1,5158
+1003200000.0ns,s3,2,3555
+1003300000.0ns,s1,1,5898
+1003300000.0ns,s1,2,4710
+1003300000.0ns,s1,3,5527
+1003300000.0ns,s3,4,5446
+1003300000.0ns,s3,1,5648
+1003300000.0ns,s3,2,3981
+1003400000.0ns,s1,1,6374
+1003400000.0ns,s1,2,5118
+1003400000.0ns,s1,3,5914
+1003400000.0ns,s3,4,5910
+1003400000.0ns,s3,1,6165
+1003400000.0ns,s3,2,4336
+1003500000.0ns,s1,1,6892
+1003500000.0ns,s1,2,5538
+1003500000.0ns,s1,3,6463
+1003500000.0ns,s3,4,6403
+1003500000.0ns,s3,1,6655
+1003500000.0ns,s3,2,4763
+1003500000.0ns,s34,0,165
+1003500000.0ns,s34,1,208
+1003600000.0ns,s1,1,7327
+1003600000.0ns,s1,2,5855
+1003600000.0ns,s1,3,6879
+1003600000.0ns,s3,4,6920
+1003600000.0ns,s3,1,7193
+1003600000.0ns,s3,2,5329
+1003600000.0ns,s34,0,448
+1003600000.0ns,s34,1,474
+1003700000.0ns,s1,1,7806
+1003700000.0ns,s1,2,6197
+1003700000.0ns,s1,3,7319
+1003700000.0ns,s3,4,7399
+1003700000.0ns,s3,1,7670
+1003700000.0ns,s3,2,5751
+1003700000.0ns,s34,0,731
+1003700000.0ns,s34,1,748
+1003800000.0ns,s1,1,8299
+1003800000.0ns,s1,2,6489
+1003800000.0ns,s1,3,7722
+1003800000.0ns,s3,4,7898
+1003800000.0ns,s3,1,8152
+1003800000.0ns,s3,2,6140
+1003800000.0ns,s34,0,885
+1003800000.0ns,s34,1,914
+1003900000.0ns,s1,1,8798
+1003900000.0ns,s1,2,6801
+1003900000.0ns,s1,3,8169
+1003900000.0ns,s3,4,8449
+1003900000.0ns,s3,1,8679
+1003900000.0ns,s3,2,6565
+1003900000.0ns,s12,2,172
+1003900000.0ns,s12,3,164
+1003900000.0ns,s34,0,1135
+1003900000.0ns,s34,1,1140
+1004000000.0ns,s1,1,9259
+1004000000.0ns,s1,2,7148
+1004000000.0ns,s1,3,8631
+1004000000.0ns,s3,4,9001
+1004000000.0ns,s3,1,9194
+1004000000.0ns,s3,2,6996
+1004000000.0ns,s4,2,169
+1004000000.0ns,s4,3,188
+1004000000.0ns,s12,2,625
+1004000000.0ns,s12,3,630
+1004000000.0ns,s34,0,1307
+1004000000.0ns,s34,1,1374
+1004100000.0ns,s1,1,9757
+1004100000.0ns,s1,2,7442
+1004100000.0ns,s1,3,9034
+1004100000.0ns,s3,4,9515
+1004100000.0ns,s3,1,9728
+1004100000.0ns,s3,2,7484
+1004100000.0ns,s4,2,418
+1004100000.0ns,s4,3,418
+1004100000.0ns,s12,2,1112
+1004100000.0ns,s12,3,1050
+1004100000.0ns,s34,0,1568
+1004100000.0ns,s34,1,1594
+1004200000.0ns,s1,1,10276
+1004200000.0ns,s1,2,7809
+1004200000.0ns,s1,3,9487
+1004200000.0ns,s3,4,10033
+1004200000.0ns,s3,1,10241
+1004200000.0ns,s3,2,8005
+1004200000.0ns,s4,2,655
+1004200000.0ns,s4,3,737
+1004200000.0ns,s12,2,1576
+1004200000.0ns,s12,3,1479
+1004200000.0ns,s34,0,1895
+1004200000.0ns,s34,1,1915
+1004300000.0ns,s1,1,10787
+1004300000.0ns,s1,2,8147
+1004300000.0ns,s1,3,9948
+1004300000.0ns,s3,4,10491
+1004300000.0ns,s3,1,10768
+1004300000.0ns,s3,2,8538
+1004300000.0ns,s6,2,299
+1004300000.0ns,s6,3,267
+1004300000.0ns,s4,2,884
+1004300000.0ns,s4,3,1000
+1004300000.0ns,s5,2,93
+1004300000.0ns,s5,3,122
+1004300000.0ns,s12,2,1997
+1004300000.0ns,s12,3,1936
+1004300000.0ns,s34,0,2201
+1004300000.0ns,s34,1,2226
+1004400000.0ns,s1,1,11352
+1004400000.0ns,s1,2,8549
+1004400000.0ns,s1,3,10445
+1004400000.0ns,s3,4,11002
+1004400000.0ns,s3,1,11316
+1004400000.0ns,s3,2,9053
+1004400000.0ns,s6,2,603
+1004400000.0ns,s6,3,634
+1004400000.0ns,s4,2,1275
+1004400000.0ns,s4,3,1323
+1004400000.0ns,s5,2,366
+1004400000.0ns,s5,3,453
+1004400000.0ns,s12,2,2454
+1004400000.0ns,s12,3,2399
+1004400000.0ns,s34,0,2507
+1004400000.0ns,s34,1,2490
+1004500000.0ns,s1,1,11862
+1004500000.0ns,s1,2,8918
+1004500000.0ns,s1,3,10879
