FromNode,ToNode,SourcePort,DestinationPort,Size,Priority,StartTime,EndTime,Duration
h13,h2,1,1,54747,0,+1000151073.0ns,+1000162240.0ns,11167
h29,h18,3,1,54747,0,+1000151073.0ns,+1000162316.0ns,11243
h24,h25,3,1,25891,0,+1000164927.0ns,+1000173651.0ns,8724
h8,h9,1,1,25891,0,+1000164927.0ns,+1000173651.0ns,8724
h6,h16,1,1,75678,0,+1000236874.0ns,+1000249791.0ns,12917
h22,h32,3,1,75678,0,+1000236874.0ns,+1000249911.0ns,13037
h19,h29,3,1,51138,0,+1000249027.0ns,+1000268189.0ns,19162
h3,h13,1,1,51138,0,+1000249027.0ns,+1000275809.0ns,26782
h20,h30,3,1,1579544,0,+1000136736.0ns,+1000277500.0ns,140764
h12,h16,1,1,30662,0,+1000320603.0ns,+1000329761.0ns,9158
h28,h32,3,1,30662,0,+1000320603.0ns,+1000329805.0ns,9202
h21,h28,3,1,67676,0,+1000326714.0ns,+1000338960.0ns,12246
h5,h12,1,1,67676,0,+1000326714.0ns,+1000338960.0ns,12246
h4,h14,1,1,1579544,0,+1000136736.0ns,+1000397410.0ns,260674
h32,h29,3,1,3332655,0,+1000131587.0ns,+1000414270.0ns,282683
h26,h23,3,1,171512,0,+1000399558.0ns,+1000420731.0ns,21173
h10,h7,1,1,171512,0,+1000399558.0ns,+1000420731.0ns,21173
h9,h10,1,1,1837985,0,+1000295431.0ns,+1000450864.0ns,155433
h25,h26,3,1,1837985,0,+1000295431.0ns,+1000451816.0ns,156385
h31,h26,3,1,74158,0,+1000439586.0ns,+1000455176.0ns,15590
h15,h10,1,1,74158,0,+1000439586.0ns,+1000455268.0ns,15682
h10,h5,1,1,28183,0,+1000447993.0ns,+1000459213.0ns,11220
h26,h21,3,1,28183,0,+1000447993.0ns,+1000459289.0ns,11296
h18,h21,3,1,25050,0,+1000647367.0ns,+1000658350.0ns,10983
h2,h5,1,1,25050,0,+1000647367.0ns,+1000658397.0ns,11030
h13,h20,2,1,54747,0,+1000258983.0ns,+1000678861.0ns,419878
h14,h9,1,1,346951,0,+1000643331.0ns,+1000680922.0ns,37591
h30,h25,3,1,346951,0,+1000643331.0ns,+1000681297.0ns,37966
h16,h13,1,1,3332655,0,+1000131587.0ns,+1000681788.0ns,550201
h8,h22,2,1,25891,0,+1000282732.0ns,+1000695334.0ns,412602
h21,h20,3,1,1558042,0,+1000618278.0ns,+1000812022.0ns,193744
h6,h23,2,1,75678,0,+1000406071.0ns,+1000833527.0ns,427456
h3,h23,2,1,51138,0,+1000426903.0ns,+1000850865.0ns,423962
