Time,Node,IfIndex,qIndex,PfcType,Time
+1001546641.0ns,s5,0,0,P,0
+1001549690.0ns,s5,0,0,R,0
+1001556721.0ns,s5,0,0,P,0
+1001556830.0ns,s5,0,0,R,0
+1001556840.0ns,s5,0,0,P,0
+1001556949.0ns,s5,0,0,R,0
+1001556959.0ns,s5,0,0,P,0
+1001560162.0ns,s5,0,0,R,0
+1001565971.0ns,s5,0,0,P,0
+1001565993.0ns,s5,0,0,R,0
+1001566090.0ns,s5,0,0,P,0
+1001569563.0ns,s5,0,0,R,0
+1001574658.0ns,s5,0,0,P,0
+1001578131.0ns,s5,0,0,R,0
+1001583107.0ns,s5,0,0,P,0
+1001583129.0ns,s5,0,0,R,0
+1001583226.0ns,s5,0,0,P,0
+1001583248.0ns,s5,0,0,R,0
+1001583345.0ns,s5,0,0,P,0
+1001583367.0ns,s5,0,0,R,0
+1001583464.0ns,s5,0,0,P,0
+1001586261.0ns,s7,0,0,P,0
+1001586346.0ns,s7,0,0,R,0
+1001586380.0ns,s7,0,0,P,0
+1001586381.0ns,s7,0,0,R,0
+1001586499.0ns,s7,0,0,P,0
+1001586937.0ns,s5,0,0,R,0
+1001591102.0ns,s7,0,0,R,0
+1001593817.0ns,s7,0,0,P,0
+1001595483.0ns,s5,0,0,P,0
+1001595505.0ns,s5,0,0,R,0
+1001595602.0ns,s5,0,0,P,0
+1001595624.0ns,s5,0,0,R,0
+1001595721.0ns,s5,0,0,P,0
+1001595743.0ns,s5,0,0,R,0
+1001595840.0ns,s5,0,0,P,0
+1001595862.0ns,s5,0,0,R,0
+1001595959.0ns,s5,0,0,P,0
+1001595981.0ns,s5,0,0,R,0
+1001596078.0ns,s5,0,0,P,0
+1001599194.0ns,s7,0,0,R,0
+1001599313.0ns,s5,0,0,R,0
+1001603634.0ns,s5,0,0,P,0
+1001603716.0ns,s5,0,0,R,0
+1001603753.0ns,s5,0,0,P,0
+1001605598.0ns,s7,0,0,P,0
+1001605599.0ns,s7,0,0,R,0
+1001605836.0ns,s7,0,0,P,0
+1001605858.0ns,s7,0,0,R,0
+1001605955.0ns,s7,0,0,P,0
+1001605956.0ns,s7,0,0,R,0
+1001606074.0ns,s7,0,0,P,0
+1001606096.0ns,s7,0,0,R,0
+1001606193.0ns,s7,0,0,P,0
+1001606334.0ns,s7,0,0,R,0
+1001606431.0ns,s7,0,0,P,0
+1001608119.0ns,s5,0,0,R,0
+1001608952.0ns,s7,0,0,R,0
+1001612500.0ns,s5,0,0,P,0
+1001612522.0ns,s5,0,0,R,0
+1001612619.0ns,s5,0,0,P,0
+1001615356.0ns,s7,0,0,P,0
+1001615357.0ns,s7,0,0,R,0
+1001615594.0ns,s7,0,0,P,0
+1001615595.0ns,s7,0,0,R,0
+1001615832.0ns,s7,0,0,P,0
+1001615854.0ns,s7,0,0,R,0
+1001615951.0ns,s7,0,0,P,0
+1001615952.0ns,s7,0,0,R,0
+1001616070.0ns,s7,0,0,P,0
+1001616071.0ns,s7,0,0,R,0
+1001616308.0ns,s7,0,0,P,0
+1001616330.0ns,s7,0,0,R,0
+1001616427.0ns,s7,0,0,P,0
+1001616428.0ns,s7,0,0,R,0
+1001616546.0ns,s7,0,0,P,0
+1001616568.0ns,s7,0,0,R,0
+1001616665.0ns,s7,0,0,P,0
+1001616666.0ns,s7,0,0,R,0
+1001616784.0ns,s7,0,0,P,0
+1001616806.0ns,s7,0,0,R,0
+1001616903.0ns,s7,0,0,P,0
+1001617044.0ns,s7,0,0,R,0
+1001617141.0ns,s7,0,0,P,0
+1001617142.0ns,s7,0,0,R,0
+1001617163.0ns,s5,0,0,R,0
+1001617260.0ns,s7,0,0,P,0
+1001617282.0ns,s7,0,0,R,0
+1001617379.0ns,s7,0,0,P,0
+1001617520.0ns,s7,0,0,R,0
+1001617617.0ns,s7,0,0,P,0
+1001617736.0ns,s7,0,0,R,0
+1001617974.0ns,s7,0,0,P,0
+1001617996.0ns,s7,0,0,R,0
+1001618093.0ns,s7,0,0,P,0
+1001618094.0ns,s7,0,0,R,0
+1001618212.0ns,s7,0,0,P,0
+1001618213.0ns,s7,0,0,R,0
+1001618450.0ns,s7,0,0,P,0
+1001618591.0ns,s7,0,0,R,0
+1001618688.0ns,s7,0,0,P,0
+1001618807.0ns,s7,0,0,R,0
+1001619283.0ns,s7,0,0,P,0
+1001619284.0ns,s7,0,0,R,0
+1001619975.0ns,s7,0,0,P,0
+1001620019.0ns,s7,0,0,R,0
+1001620116.0ns,s7,0,0,P,0
+1001620117.0ns,s7,0,0,R,0
+1001620235.0ns,s7,0,0,P,0
+1001620236.0ns,s7,0,0,R,0
+1001620473.0ns,s7,0,0,P,0
+1001620495.0ns,s7,0,0,R,0
+1001620711.0ns,s7,0,0,P,0
+1001620712.0ns,s7,0,0,R,0
+1001621046.0ns,s7,0,0,P,0
+1001621047.0ns,s7,0,0,R,0
+1001621165.0ns,s7,0,0,P,0
+1001621209.0ns,s7,0,0,R,0
+1001621284.0ns,s7,0,0,P,0
+1001621306.0ns,s5,0,0,P,0
+1001621328.0ns,s5,0,0,R,0
+1001621425.0ns,s5,0,0,P,0
+1001621447.0ns,s7,0,0,R,0
+1001621523.0ns,s7,0,0,P,0
+1001621524.0ns,s7,0,0,R,0
+1001621642.0ns,s7,0,0,P,0
+1001621685.0ns,s7,0,0,R,0
+1001621761.0ns,s7,0,0,P,0
+1001621923.0ns,s7,0,0,R,0
+1001621999.0ns,s7,0,0,P,0
+1001622161.0ns,s7,0,0,R,0
+1001622258.0ns,s7,0,0,P,0
+1001622637.0ns,s7,0,0,R,0
+1001622734.0ns,s7,0,0,P,0
+1001624422.0ns,s7,0,0,R,0
+1001625255.0ns,s5,0,0,R,0
+1001629398.0ns,s5,0,0,P,0
+1001629420.0ns,s5,0,0,R,0
+1001629517.0ns,s5,0,0,P,0
+1001634418.0ns,s5,0,0,R,0
+1001637996.0ns,s5,0,0,P,0
+1001638680.0ns,s7,0,0,P,0
+1001638702.0ns,s7,0,0,R,0
+1001638799.0ns,s7,0,0,P,0
+1001638800.0ns,s7,0,0,R,0
+1001639037.0ns,s7,0,0,P,0
+1001639038.0ns,s7,0,0,R,0
+1001639275.0ns,s7,0,0,P,0
+1001639297.0ns,s7,0,0,R,0
+1001639394.0ns,s7,0,0,P,0
+1001639395.0ns,s7,0,0,R,0
+1001639632.0ns,s7,0,0,P,0
+1001639633.0ns,s7,0,0,R,0
+1001639870.0ns,s7,0,0,P,0
+1001639892.0ns,s7,0,0,R,0
+1001639989.0ns,s7,0,0,P,0
+1001639990.0ns,s7,0,0,R,0
+1001640227.0ns,s7,0,0,P,0
+1001640249.0ns,s7,0,0,R,0
+1001640346.0ns,s7,0,0,P,0
+1001640347.0ns,s7,0,0,R,0
+1001640465.0ns,s7,0,0,P,0
+1001640487.0ns,s7,0,0,R,0
+1001640584.0ns,s7,0,0,P,0
+1001640585.0ns,s7,0,0,R,0
+1001640703.0ns,s7,0,0,P,0
+1001640725.0ns,s7,0,0,R,0
+1001640822.0ns,s7,0,0,P,0
+1001640844.0ns,s7,0,0,R,0
+1001640941.0ns,s7,0,0,P,0
+1001640942.0ns,s7,0,0,R,0
+1001641060.0ns,s7,0,0,P,0
+1001641201.0ns,s7,0,0,R,0
+1001641298.0ns,s7,0,0,P,0
+1001644533.0ns,s5,0,0,R,0
+1001644771.0ns,s7,0,0,R,0
+1001647605.0ns,s5,0,0,P,0
+1001649866.0ns,s7,0,0,P,0
+1001649867.0ns,s7,0,0,R,0
+1001650104.0ns,s7,0,0,P,0
+1001650245.0ns,s7,0,0,R,0
+1001650342.0ns,s7,0,0,P,0
+1001650343.0ns,s7,0,0,R,0
+1001650461.0ns,s7,0,0,P,0
+1001650483.0ns,s7,0,0,R,0
+1001650580.0ns,s7,0,0,P,0
+1001650786.0ns,s7,0,0,R,0
+1001650818.0ns,s7,0,0,P,0
+1001651024.0ns,s7,0,0,R,0
+1001651056.0ns,s7,0,0,P,0
+1001651381.0ns,s7,0,0,R,0
+1001651413.0ns,s7,0,0,P,0
+1001651414.0ns,s7,0,0,R,0
+1001651532.0ns,s7,0,0,P,0
+1001651619.0ns,s7,0,0,R,0
+1001651651.0ns,s7,0,0,P,0
+1001651857.0ns,s7,0,0,R,0
+1001651889.0ns,s7,0,0,P,0
+1001652095.0ns,s7,0,0,R,0
+1001652127.0ns,s7,0,0,P,0
+1001652333.0ns,s7,0,0,R,0
+1001652365.0ns,s7,0,0,P,0
+1001652571.0ns,s7,0,0,R,0
+1001652603.0ns,s7,0,0,P,0
+1001652604.0ns,s7,0,0,R,0
+1001653880.0ns,s5,0,0,R,0
+1001656768.0ns,s5,0,0,P,0
+1001656855.0ns,s5,0,0,R,0
+1001656887.0ns,s5,0,0,P,0
+1001658380.0ns,s7,0,0,P,0
+1001658402.0ns,s7,0,0,R,0
+1001658499.0ns,s7,0,0,P,0
+1001661615.0ns,s7,0,0,R,0
+1001664233.0ns,s5,0,0,R,0
+1001664925.0ns,s7,0,0,P,0
+1001666714.0ns,s5,0,0,P,0
+1001666732.0ns,s5,0,0,R,0
+1001666837.0ns,s5,0,0,P,0
+1001670183.0ns,s7,0,0,R,0
+1001674529.0ns,s5,0,0,R,0
+1001675754.0ns,s7,0,0,P,0
+1001675838.0ns,s7,0,0,R,0
+1001675873.0ns,s7,0,0,P,0
+1001675957.0ns,s7,0,0,R,0
+1001675992.0ns,s7,0,0,P,0
+1001677609.0ns,s5,0,0,P,0
+1001677623.0ns,s5,0,0,R,0
+1001677732.0ns,s5,0,0,P,0
+1001679408.0ns,s7,0,0,R,0
+1001682383.0ns,s5,0,0,R,0
+1001685102.0ns,s7,0,0,P,0
+1001686692.0ns,s5,0,0,P,0
+1001686786.0ns,s5,0,0,R,0
+1001686811.0ns,s5,0,0,P,0
