Time,Node,PortIndex,RxByte
+1000000000.0ns,s42,0,0
+1000100000.0ns,s42,0,0
+1000200000.0ns,s42,0,0
+1000300000.0ns,s42,0,0
+1000400000.0ns,s42,0,0
+1000500000.0ns,s42,0,510403
+1000600000.0ns,s42,0,2313183
+1000700000.0ns,s42,0,4641456
+1000800000.0ns,s42,0,6736818
+1000900000.0ns,s42,0,8325121
+1001000000.0ns,s42,0,10405166
+1001100000.0ns,s42,0,12897939
+1001200000.0ns,s42,0,14794999
+1001300000.0ns,s42,0,17780722
+1001400000.0ns,s42,0,21319841
+1001500000.0ns,s42,0,23604934
+1001600000.0ns,s42,0,26165746
+1001700000.0ns,s42,0,28973583
+1001800000.0ns,s42,0,32376078
+1001900000.0ns,s42,0,34809149
+1002000000.0ns,s42,0,36493841
+1002100000.0ns,s42,0,38078344
+1002200000.0ns,s42,0,38078344
+1002300000.0ns,s42,0,38078344
+1002400000.0ns,s42,0,39102849
+1002500000.0ns,s42,0,44263835
+1002600000.0ns,s42,0,48049964
+1002700000.0ns,s42,0,50993997
+1002800000.0ns,s42,0,53659408
+1002900000.0ns,s42,0,56466177
+1003000000.0ns,s42,0,59353712
+1003100000.0ns,s42,0,62808349
+1003200000.0ns,s42,0,66129610
+1003300000.0ns,s42,0,67872409
+1003400000.0ns,s42,0,67872409
+1003500000.0ns,s42,0,69788004
+1003600000.0ns,s42,0,69788004
+1003700000.0ns,s42,0,69788004
+1003800000.0ns,s42,0,69788004
+1003900000.0ns,s42,0,69788004
+1004000000.0ns,s42,0,69788004
+1004100000.0ns,s42,0,69788004
+1004200000.0ns,s42,0,72271235
+1004300000.0ns,s42,0,77444604
+1004400000.0ns,s42,0,82617375
+1004500000.0ns,s42,0,86161970
+1004600000.0ns,s42,0,89292834
+1004700000.0ns,s42,0,92530016
+1004800000.0ns,s42,0,96252073
+1004900000.0ns,s42,0,100832637
+1005000000.0ns,s42,0,105169190
+1005100000.0ns,s42,0,106570311
+1005200000.0ns,s42,0,106570311
+1005300000.0ns,s42,0,106570311
+1005400000.0ns,s42,0,106570311
+1005500000.0ns,s42,0,106570311
+1005600000.0ns,s42,0,106570311
+1005700000.0ns,s42,0,106570311
+1005800000.0ns,s42,0,106570311
+1005900000.0ns,s42,0,106570311
+1006000000.0ns,s42,0,108996435
+1006100000.0ns,s42,0,114168571
+1006200000.0ns,s42,0,119341505
+1006300000.0ns,s42,0,124513855
+1006400000.0ns,s42,0,129686550
+1006500000.0ns,s42,0,134858893
+1006600000.0ns,s42,0,140030512
+1006700000.0ns,s42,0,145203389
+1006800000.0ns,s42,0,150321943
+1006900000.0ns,s42,0,150461443
+1007000000.0ns,s42,0,150461443
+1007100000.0ns,s42,0,150461443
+1007200000.0ns,s42,0,150461443
+1007300000.0ns,s42,0,150461443
+1007400000.0ns,s42,0,150461443
+1007500000.0ns,s42,0,150461443
+1007600000.0ns,s42,0,150461443
+1007700000.0ns,s42,0,150461443
+1007800000.0ns,s42,0,150461443
+1007900000.0ns,s42,0,150461443
+1008000000.0ns,s42,0,151349280
+1008100000.0ns,s42,0,156521593
+1008200000.0ns,s42,0,161694551
+1008300000.0ns,s42,0,166865867
+1008400000.0ns,s42,0,172038432
+1008500000.0ns,s42,0,177211750
+1008600000.0ns,s42,0,182384924
+1008700000.0ns,s42,0,187556481
+1008800000.0ns,s42,0,192712323
+1008900000.0ns,s42,0,195792612
+1009000000.0ns,s42,0,195792612
+1009100000.0ns,s42,0,195792612
+1009200000.0ns,s42,0,195792612
+1009300000.0ns,s42,0,195792612
+1009400000.0ns,s42,0,195792612
+1009500000.0ns,s42,0,195792612
+1009600000.0ns,s42,0,195792612
+1009700000.0ns,s42,0,195792612
+1009800000.0ns,s42,0,195792612
+1009900000.0ns,s42,0,195792612
+1010000000.0ns,s42,0,200484733
+1010100000.0ns,s42,0,205656488
+1010200000.0ns,s42,0,210830632
+1010300000.0ns,s42,0,216002537
+1010400000.0ns,s42,0,221175741
+1010500000.0ns,s42,0,226348032
+1010600000.0ns,s42,0,230353861
+1010700000.0ns,s42,0,234313781
+1010800000.0ns,s42,0,238182787
+1010900000.0ns,s42,0,238182787
+1011000000.0ns,s42,0,238182787
+1011100000.0ns,s42,0,238182787
+1011200000.0ns,s42,0,238182787
+1011300000.0ns,s42,0,238182787
+1011400000.0ns,s42,0,238182787
+1011500000.0ns,s42,0,238182787
+1011600000.0ns,s42,0,238182787
+1011700000.0ns,s42,0,238182787
+1011800000.0ns,s42,0,238182787
+1011900000.0ns,s42,0,241853288
+1012000000.0ns,s42,0,247025340
+1012100000.0ns,s42,0,251255581
+1012200000.0ns,s42,0,255298850
+1012300000.0ns,s42,0,259221466
+1012400000.0ns,s42,0,263361004
+1012500000.0ns,s42,0,267177787
+1012600000.0ns,s42,0,271214010
+1012700000.0ns,s42,0,275153150
+1012800000.0ns,s42,0,277743791
+1012900000.0ns,s42,0,277743791
+1013000000.0ns,s42,0,277743791
+1013100000.0ns,s42,0,281149550
+1013200000.0ns,s42,0,285142098
+1013300000.0ns,s42,0,285142098
+1013400000.0ns,s42,0,285142098
+1013500000.0ns,s42,0,285142098
+1013600000.0ns,s42,0,285142098
+1013700000.0ns,s42,0,289177643
+1013800000.0ns,s42,0,293557065
+1013900000.0ns,s42,0,297554874
+1014000000.0ns,s42,0,297987000
+1014100000.0ns,s42,0,302819976
+1014200000.0ns,s42,0,306797030
+1014300000.0ns,s42,0,310828621
+1014400000.0ns,s42,0,315116360
+1014500000.0ns,s42,0,318674110
+1014600000.0ns,s42,0,321658505
+1014700000.0ns,s42,0,324732886
+1014800000.0ns,s42,0,327804327
+1014900000.0ns,s42,0,330870843
+1015000000.0ns,s42,0,334209045
+1015100000.0ns,s42,0,337711589
+1015200000.0ns,s42,0,341055316
+1015300000.0ns,s42,0,342652421
+1015400000.0ns,s42,0,346049163
+1015500000.0ns,s42,0,349541548
+1015600000.0ns,s42,0,352921119
+1015700000.0ns,s42,0,356373335
+1015800000.0ns,s42,0,360910171
+1015900000.0ns,s42,0,364173784
+1016000000.0ns,s42,0,367328902
+1016100000.0ns,s42,0,370396961
+1016200000.0ns,s42,0,373256476
+1016300000.0ns,s42,0,376460887
+1016400000.0ns,s42,0,379482828
+1016500000.0ns,s42,0,382259540
+1016600000.0ns,s42,0,385566234
+1016700000.0ns,s42,0,388744941
+1016800000.0ns,s42,0,392124778
+1016900000.0ns,s42,0,395497419
+1017000000.0ns,s42,0,398992638
+1017100000.0ns,s42,0,402747295
+1017200000.0ns,s42,0,406244973
+1017300000.0ns,s42,0,409529516
+1017400000.0ns,s42,0,412822917
+1017500000.0ns,s42,0,416352738
+1017600000.0ns,s42,0,420544586
+1017700000.0ns,s42,0,425191830
+1017800000.0ns,s42,0,429521512
+1017900000.0ns,s42,0,434497754
+1018000000.0ns,s42,0,439491311
+1018100000.0ns,s42,0,443524801
+1018200000.0ns,s42,0,447404933
+1018300000.0ns,s42,0,451515001
+1018400000.0ns,s42,0,455736535
+1018500000.0ns,s42,0,459999110
+1018600000.0ns,s42,0,464511534
+1018700000.0ns,s42,0,466798440
+1018800000.0ns,s42,0,466798440
+1018900000.0ns,s42,0,466798440
+1019000000.0ns,s42,0,466798440
+1019100000.0ns,s42,0,466798440
+1019200000.0ns,s42,0,466798440
+1019300000.0ns,s42,0,466798440
+1019400000.0ns,s42,0,466798440
+1019500000.0ns,s42,0,467402314
+1019600000.0ns,s42,0,472574292
+1019700000.0ns,s42,0,477727862
+1019800000.0ns,s42,0,482389356
+1019900000.0ns,s42,0,486203457
+1020000000.0ns,s42,0,490217980
+1020100000.0ns,s42,0,494166659
+1020200000.0ns,s42,0,498172195
+1020300000.0ns,s42,0,502003797
+1020400000.0ns,s42,0,506001484
+1020500000.0ns,s42,0,506758178
+1020600000.0ns,s42,0,506758178
+1020700000.0ns,s42,0,508876800
+1020800000.0ns,s42,0,511488925
+1020900000.0ns,s42,0,511488925
+1021000000.0ns,s42,0,513450831
+1021100000.0ns,s42,0,515541808
+1021200000.0ns,s42,0,515541808
+1021300000.0ns,s42,0,517812082
+1021400000.0ns,s42,0,522984607
+1021500000.0ns,s42,0,527358195
+1021600000.0ns,s42,0,529849267
+1021700000.0ns,s42,0,534526338
+1021800000.0ns,s42,0,538869110
+1021900000.0ns,s42,0,543374041
+1022000000.0ns,s42,0,548046147
+1022100000.0ns,s42,0,552428851
+1022200000.0ns,s42,0,554277916
+1022300000.0ns,s42,0,556338040
+1022400000.0ns,s42,0,561510230
+1022500000.0ns,s42,0,563949517
+1022600000.0ns,s42,0,563949517
+1022700000.0ns,s42,0,563949517
+1022800000.0ns,s42,0,563949517
+1022900000.0ns,s42,0,563949517
+1023000000.0ns,s42,0,565656923
+1023100000.0ns,s42,0,570829401
+1023200000.0ns,s42,0,572967563
+1023300000.0ns,s42,0,572967563
+1023400000.0ns,s42,0,576174795
+1023500000.0ns,s42,0,580746729
+1023600000.0ns,s42,0,584771885
+1023700000.0ns,s42,0,588830619
+1023800000.0ns,s42,0,593036746
+1023900000.0ns,s42,0,595940148
+1024000000.0ns,s42,0,598844249
+1024100000.0ns,s42,0,603279176
+1024200000.0ns,s42,0,607685556
+1024300000.0ns,s42,0,608835511
+1024400000.0ns,s42,0,608835511
+1024500000.0ns,s42,0,608835511
+1024600000.0ns,s42,0,613533958
+1024700000.0ns,s42,0,618662310
+1024800000.0ns,s42,0,623056576
+1024900000.0ns,s42,0,627568063
+1025000000.0ns,s42,0,630257792
+1025100000.0ns,s42,0,631331067
+1025200000.0ns,s42,0,636394518
+1025300000.0ns,s42,0,641138174
+1025400000.0ns,s42,0,645697817
+1025500000.0ns,s42,0,645912317
+1025600000.0ns,s42,0,645912317
+1025700000.0ns,s42,0,645912317
+1025800000.0ns,s42,0,645912317
+1025900000.0ns,s42,0,645912317
+1026000000.0ns,s42,0,645912317
+1026100000.0ns,s42,0,645912317
+1026200000.0ns,s42,0,645912317
+1026300000.0ns,s42,0,645912317
+1026400000.0ns,s42,0,647674563
+1026500000.0ns,s42,0,652845793
+1026600000.0ns,s42,0,657928039
+1026700000.0ns,s42,0,662021285
+1026800000.0ns,s42,0,666030139
+1026900000.0ns,s42,0,670509166
+1027000000.0ns,s42,0,675527688
+1027100000.0ns,s42,0,680570531
+1027200000.0ns,s42,0,685613025
+1027300000.0ns,s42,0,688299356
+1027400000.0ns,s42,0,688299356
+1027500000.0ns,s42,0,688299356
+1027600000.0ns,s42,0,688299356
+1027700000.0ns,s42,0,688299356
+1027800000.0ns,s42,0,688299356
+1027900000.0ns,s42,0,688299356
+1028000000.0ns,s42,0,688299356
+1028100000.0ns,s42,0,688299356
+1028200000.0ns,s42,0,688299356
+1028300000.0ns,s42,0,688299356
+1028400000.0ns,s42,0,689185819
+1028500000.0ns,s42,0,694310116
+1028600000.0ns,s42,0,698429672
+1028700000.0ns,s42,0,702771535
+1028800000.0ns,s42,0,707237926
+1028900000.0ns,s42,0,711314764
+1029000000.0ns,s42,0,715636269
+1029100000.0ns,s42,0,719887680
+1029200000.0ns,s42,0,724241635
+1029300000.0ns,s42,0,727532005
+1029400000.0ns,s42,0,727532005
+1029500000.0ns,s42,0,727532005
+1029600000.0ns,s42,0,727532005
+1029700000.0ns,s42,0,727532005
+1029800000.0ns,s42,0,727532005
+1029900000.0ns,s42,0,727532005
+1030000000.0ns,s42,0,727532005
+1030100000.0ns,s42,0,727888776
+1030200000.0ns,s42,0,733061465
+1030300000.0ns,s42,0,737469987
+1030400000.0ns,s42,0,741759586
+1030500000.0ns,s42,0,746635506
+1030600000.0ns,s42,0,751221992
+1030700000.0ns,s42,0,755456855
+1030800000.0ns,s42,0,759710406
+1030900000.0ns,s42,0,763712294
+1031000000.0ns,s42,0,767755659
+1031100000.0ns,s42,0,771947599
+1031200000.0ns,s42,0,776290384
+1031300000.0ns,s42,0,777737314
+1031400000.0ns,s42,0,777737314
+1031500000.0ns,s42,0,777737314
+1031600000.0ns,s42,0,777737314
+1031700000.0ns,s42,0,777737314
+1031800000.0ns,s42,0,777737314
