Time,Node,PortIndex,RxByte
+1000000000.0ns,s44,0,0
+1000100000.0ns,s44,0,0
+1000200000.0ns,s44,0,0
+1000300000.0ns,s44,0,0
+1000400000.0ns,s44,0,0
+1000500000.0ns,s44,0,0
+1000600000.0ns,s44,0,0
+1000700000.0ns,s44,0,1627050
+1000800000.0ns,s44,0,3792826
+1000900000.0ns,s44,0,5184270
+1001000000.0ns,s44,0,6484055
+1001100000.0ns,s44,0,7429580
+1001200000.0ns,s44,0,8799365
+1001300000.0ns,s44,0,10059365
+1001400000.0ns,s44,0,11320865
+1001500000.0ns,s44,0,12580865
+1001600000.0ns,s44,0,14724282
+1001700000.0ns,s44,0,18345675
+1001800000.0ns,s44,0,20867175
+1001900000.0ns,s44,0,23973900
+1002000000.0ns,s44,0,27755492
+1002100000.0ns,s44,0,31536118
+1002200000.0ns,s44,0,35317618
+1002300000.0ns,s44,0,38626618
+1002400000.0ns,s44,0,41777700
+1002500000.0ns,s44,0,45627143
+1002600000.0ns,s44,0,49435628
+1002700000.0ns,s44,0,53217739
+1002800000.0ns,s44,0,57549356
+1002900000.0ns,s44,0,62590856
+1003000000.0ns,s44,0,67457603
+1003100000.0ns,s44,0,71239103
+1003200000.0ns,s44,0,73974827
+1003300000.0ns,s44,0,75365306
+1003400000.0ns,s44,0,77694806
+1003500000.0ns,s44,0,80216306
+1003600000.0ns,s44,0,83878831
+1003700000.0ns,s44,0,87388145
+1003800000.0ns,s44,0,90051758
+1003900000.0ns,s44,0,93253257
+1004000000.0ns,s44,0,95648607
+1004100000.0ns,s44,0,97696527
+1004200000.0ns,s44,0,98769027
+1004300000.0ns,s44,0,99868844
+1004400000.0ns,s44,0,102080395
+1004500000.0ns,s44,0,104604461
+1004600000.0ns,s44,0,107974563
+1004700000.0ns,s44,0,110844759
+1004800000.0ns,s44,0,112488382
+1004900000.0ns,s44,0,113730746
+1005000000.0ns,s44,0,115054424
+1005100000.0ns,s44,0,116836124
+1005200000.0ns,s44,0,118829624
+1005300000.0ns,s44,0,120763344
+1005400000.0ns,s44,0,124164096
+1005500000.0ns,s44,0,127731096
+1005600000.0ns,s44,0,131473830
+1005700000.0ns,s44,0,135210330
+1005800000.0ns,s44,0,138743122
+1005900000.0ns,s44,0,142568122
+1006000000.0ns,s44,0,147740413
+1006100000.0ns,s44,0,152913520
+1006200000.0ns,s44,0,158085219
+1006300000.0ns,s44,0,163258751
+1006400000.0ns,s44,0,167278879
+1006500000.0ns,s44,0,172450846
+1006600000.0ns,s44,0,177623068
+1006700000.0ns,s44,0,182612228
+1006800000.0ns,s44,0,185679118
+1006900000.0ns,s44,0,188148118
+1007000000.0ns,s44,0,190692098
+1007100000.0ns,s44,0,193869849
