Time,Node,IfIndex,qIndex,PfcType,Time
+1001546042.0ns,s5,0,0,P,0
+1001546120.0ns,s5,0,0,R,0
+1001546161.0ns,s5,0,0,P,0
+1001546239.0ns,s5,0,0,R,0
+1001546280.0ns,s5,0,0,P,0
+1001546358.0ns,s5,0,0,R,0
+1001546399.0ns,s5,0,0,P,0
+1001546477.0ns,s5,0,0,R,0
+1001546518.0ns,s5,0,0,P,0
+1001549571.0ns,s5,0,0,R,0
+1001557175.0ns,s5,0,0,P,0
+1001560162.0ns,s5,0,0,R,0
+1001565257.0ns,s5,0,0,P,0
+1001565279.0ns,s5,0,0,R,0
+1001565376.0ns,s5,0,0,P,0
+1001565398.0ns,s5,0,0,R,0
+1001565495.0ns,s5,0,0,P,0
+1001565517.0ns,s5,0,0,R,0
+1001565614.0ns,s5,0,0,P,0
+1001569206.0ns,s5,0,0,R,0
+1001574182.0ns,s5,0,0,P,0
+1001574204.0ns,s5,0,0,R,0
+1001574301.0ns,s5,0,0,P,0
+1001574323.0ns,s5,0,0,R,0
+1001574420.0ns,s5,0,0,P,0
+1001574442.0ns,s5,0,0,R,0
+1001574539.0ns,s5,0,0,P,0
+1001578131.0ns,s5,0,0,R,0
+1001583345.0ns,s5,0,0,P,0
+1001583367.0ns,s5,0,0,R,0
+1001583464.0ns,s5,0,0,P,0
+1001586580.0ns,s5,0,0,R,0
+1001589950.0ns,s7,0,0,P,0
+1001593579.0ns,s5,0,0,P,0
+1001593601.0ns,s5,0,0,R,0
+1001593698.0ns,s5,0,0,P,0
+1001593720.0ns,s5,0,0,R,0
+1001593817.0ns,s5,0,0,P,0
+1001593839.0ns,s5,0,0,R,0
+1001593936.0ns,s5,0,0,P,0
+1001596457.0ns,s5,0,0,R,0
+1001597528.0ns,s7,0,0,R,0
+1001601492.0ns,s5,0,0,P,0
+1001601574.0ns,s5,0,0,R,0
+1001601611.0ns,s5,0,0,P,0
+1001604293.0ns,s7,0,0,P,0
+1001604294.0ns,s7,0,0,R,0
+1001604531.0ns,s7,0,0,P,0
+1001604549.0ns,s7,0,0,R,0
+1001604650.0ns,s7,0,0,P,0
+1001604787.0ns,s7,0,0,R,0
+1001604888.0ns,s7,0,0,P,0
+1001605977.0ns,s5,0,0,R,0
+1001607524.0ns,s7,0,0,R,0
+1001610358.0ns,s5,0,0,P,0
+1001614545.0ns,s5,0,0,R,0
+1001618688.0ns,s5,0,0,P,0
+1001618710.0ns,s5,0,0,R,0
+1001618807.0ns,s5,0,0,P,0
+1001620235.0ns,s7,0,0,P,0
+1001620236.0ns,s7,0,0,R,0
+1001620711.0ns,s7,0,0,P,0
+1001620712.0ns,s7,0,0,R,0
+1001620949.0ns,s7,0,0,P,0
+1001620950.0ns,s7,0,0,R,0
+1001621187.0ns,s7,0,0,P,0
+1001621209.0ns,s7,0,0,R,0
+1001621306.0ns,s7,0,0,P,0
+1001621307.0ns,s7,0,0,R,0
+1001621425.0ns,s7,0,0,P,0
+1001621426.0ns,s7,0,0,R,0
+1001621663.0ns,s7,0,0,P,0
+1001621685.0ns,s7,0,0,R,0
+1001621782.0ns,s7,0,0,P,0
+1001621783.0ns,s7,0,0,R,0
+1001621901.0ns,s7,0,0,P,0
+1001621923.0ns,s7,0,0,R,0
+1001622020.0ns,s7,0,0,P,0
+1001622021.0ns,s7,0,0,R,0
+1001622139.0ns,s7,0,0,P,0
