Time,Node,PortIndex,DropPacket
+1019800000.0ns,s4,3,141
+1019900000.0ns,s4,3,561
+1020000000.0ns,s4,3,981
+1020100000.0ns,s4,3,1396
+1020200000.0ns,s4,3,1396
+1020300000.0ns,s4,3,1396
+1020400000.0ns,s4,3,1396
+1020500000.0ns,s4,3,1396
+1020600000.0ns,s4,3,1396
+1020700000.0ns,s4,3,1396
+1020800000.0ns,s4,3,1396
+1020900000.0ns,s4,3,1396
+1021000000.0ns,s4,3,1396
+1021100000.0ns,s4,3,1396
+1021200000.0ns,s4,3,1396
+1021300000.0ns,s4,3,1396
+1021400000.0ns,s4,3,1396
+1021500000.0ns,s4,3,1396
+1021600000.0ns,s4,3,1396
+1021700000.0ns,s4,3,1396
+1021800000.0ns,s4,3,1396
+1021900000.0ns,s4,3,1396
+1022000000.0ns,s4,3,1396
+1022100000.0ns,s4,3,1396
+1022200000.0ns,s4,3,1396
+1022300000.0ns,s4,3,1396
+1022400000.0ns,s4,3,1396
+1022500000.0ns,s4,3,1396
+1022600000.0ns,s4,3,1396
+1022700000.0ns,s4,3,1396
+1022800000.0ns,s4,3,1396
+1022900000.0ns,s4,3,1396
+1023000000.0ns,s4,3,1396
+1023100000.0ns,s4,3,1396
+1023200000.0ns,s4,3,1396
+1023300000.0ns,s4,3,1396
+1023400000.0ns,s4,3,1396
+1023500000.0ns,s4,3,1396
+1023600000.0ns,s4,3,1396
+1023700000.0ns,s4,3,1396
+1023800000.0ns,s4,3,1396
+1023900000.0ns,s4,3,1396
+1024000000.0ns,s4,3,1396
+1024100000.0ns,s4,3,1396
+1024200000.0ns,s4,3,1396
+1024300000.0ns,s4,3,1396
+1024400000.0ns,s4,3,1396
+1024500000.0ns,s4,3,1396
+1024600000.0ns,s4,3,1396
+1024700000.0ns,s4,3,1396
+1024800000.0ns,s4,3,1396
+1024900000.0ns,s4,3,1396
+1025000000.0ns,s4,3,1396
+1025100000.0ns,s4,3,1396
+1025200000.0ns,s4,3,1396
+1025300000.0ns,s4,3,1396
+1025400000.0ns,s4,3,1396
+1025500000.0ns,s4,3,1396
+1025600000.0ns,s4,3,1396
+1025700000.0ns,s4,3,1396
+1025800000.0ns,s4,3,1396
+1025900000.0ns,s4,3,1396
+1026000000.0ns,s4,3,1396
+1026100000.0ns,s4,3,1396
+1026200000.0ns,s4,3,1396
