FromNode,ToNode,SourcePort,DestinationPort,Size,Priority,StartTime,EndTime,Duration
h29,h18,3,1,54747,0,+1000151073.0ns,+1000162316.0ns,11243
h24,h25,3,1,25891,0,+1000164927.0ns,+1000173651.0ns,8724
h22,h32,3,1,75678,0,+1000236874.0ns,+1000249911.0ns,13037
h19,h29,3,1,51138,0,+1000249027.0ns,+1000268167.0ns,19140
h20,h30,3,1,1579544,0,+1000136736.0ns,+1000277500.0ns,140764
h28,h32,3,1,30662,0,+1000320603.0ns,+1000329809.0ns,9206
h21,h28,3,1,67676,0,+1000326714.0ns,+1000338960.0ns,12246
h32,h29,3,1,3332655,0,+1000131587.0ns,+1000414248.0ns,282661
h26,h23,3,1,171512,0,+1000399558.0ns,+1000420731.0ns,21173
h25,h26,3,1,1837985,0,+1000295431.0ns,+1000451459.0ns,156028
h31,h26,3,1,74158,0,+1000439586.0ns,+1000455176.0ns,15590
h26,h21,3,1,28183,0,+1000447993.0ns,+1000459289.0ns,11296
h18,h21,3,1,25050,0,+1000647367.0ns,+1000661302.0ns,13935
h13,h20,2,1,54747,0,+1000258983.0ns,+1000680880.0ns,421897
h30,h25,3,1,346951,0,+1000643331.0ns,+1000681252.0ns,37921
h8,h22,2,1,25891,0,+1000282732.0ns,+1000695797.0ns,413065
h21,h20,3,1,1558042,0,+1000618278.0ns,+1000807734.0ns,189456
h6,h23,2,1,75678,0,+1000406071.0ns,+1000827847.0ns,421776
h3,h23,2,1,51138,0,+1000426903.0ns,+1000851285.0ns,424382
h28,h32,3,2,32029,0,+1000846281.0ns,+1000855512.0ns,9231
h4,h23,2,1,1579544,0,+1000234405.0ns,+1000915561.0ns,681156
h29,h27,3,1,66648,0,+1000909442.0ns,+1000925724.0ns,16282
h29,h23,3,1,6713,0,+1000909963.0ns,+1000926508.0ns,16545
h31,h30,3,1,871871,0,+1000870312.0ns,+1000946513.0ns,76201
h30,h32,3,1,57885,0,+1000939122.0ns,+1000948393.0ns,9271
h17,h20,3,1,1298317,0,+1000849057.0ns,+1001041050.0ns,191993
h16,h23,2,1,3332655,0,+1000225577.0ns,+1001055926.0ns,830349
h12,h23,2,1,30662,0,+1000549606.0ns,+1001091618.0ns,542012
