Time,Node,PortIndex,DropPacket
+1009500000.0ns,s3,4,323
+1009500000.0ns,s3,1,152
+1009500000.0ns,s3,2,532
+1009600000.0ns,s3,4,323
+1009600000.0ns,s3,1,504
+1009600000.0ns,s3,2,1094
+1009700000.0ns,s3,4,323
+1009700000.0ns,s3,1,753
+1009700000.0ns,s3,2,1283
+1009800000.0ns,s3,4,323
+1009800000.0ns,s3,1,1013
+1009800000.0ns,s3,2,1589
+1009900000.0ns,s3,4,323
+1009900000.0ns,s3,1,1406
+1009900000.0ns,s3,2,2010
+1010000000.0ns,s3,4,323
+1010000000.0ns,s3,1,1829
+1010000000.0ns,s3,2,2425
+1010100000.0ns,s3,4,323
+1010100000.0ns,s3,1,2167
+1010100000.0ns,s3,2,2750
+1010200000.0ns,s3,4,323
+1010200000.0ns,s3,1,2177
+1010200000.0ns,s3,2,2750
+1010300000.0ns,s3,4,323
+1010300000.0ns,s3,1,2177
+1010300000.0ns,s3,2,2750
+1010400000.0ns,s3,4,323
+1010400000.0ns,s3,1,2177
+1010400000.0ns,s3,2,2750
+1010500000.0ns,s3,4,323
+1010500000.0ns,s3,1,2405
+1010500000.0ns,s3,2,2832
+1010600000.0ns,s3,4,323
+1010600000.0ns,s3,1,2405
+1010600000.0ns,s3,2,2832
+1010700000.0ns,s3,4,323
+1010700000.0ns,s3,1,2405
+1010700000.0ns,s3,2,2832
+1010800000.0ns,s3,4,323
+1010800000.0ns,s3,1,2405
+1010800000.0ns,s3,2,2832
+1010800000.0ns,s15,0,2
+1010800000.0ns,s15,1,9
+1010800000.0ns,s15,2,15
+1010800000.0ns,s15,3,3
+1010900000.0ns,s3,4,323
+1010900000.0ns,s3,1,2405
+1010900000.0ns,s3,2,2832
+1010900000.0ns,s15,0,9
+1010900000.0ns,s15,1,21
+1010900000.0ns,s15,2,23
+1010900000.0ns,s15,3,49
+1011000000.0ns,s3,4,323
+1011000000.0ns,s3,1,2405
+1011000000.0ns,s3,2,2832
+1011000000.0ns,s15,0,9
+1011000000.0ns,s15,1,21
+1011000000.0ns,s15,2,23
+1011000000.0ns,s15,3,49
+1011100000.0ns,s3,4,323
+1011100000.0ns,s3,1,2405
+1011100000.0ns,s3,2,2832
+1011100000.0ns,s15,0,9
+1011100000.0ns,s15,1,21
+1011100000.0ns,s15,2,23
+1011100000.0ns,s15,3,49
+1011200000.0ns,s3,4,323
+1011200000.0ns,s3,1,2405
+1011200000.0ns,s3,2,2832
+1011200000.0ns,s15,0,24
+1011200000.0ns,s15,1,117
+1011200000.0ns,s15,2,94
+1011200000.0ns,s15,3,151
+1011300000.0ns,s6,2,240
+1011300000.0ns,s6,3,47
+1011300000.0ns,s3,4,323
+1011300000.0ns,s3,1,2405
+1011300000.0ns,s3,2,2832
+1011300000.0ns,s15,0,24
+1011300000.0ns,s15,1,117
+1011300000.0ns,s15,2,94
+1011300000.0ns,s15,3,151
+1011400000.0ns,s6,2,988
+1011400000.0ns,s6,3,128
+1011400000.0ns,s3,4,323
+1011400000.0ns,s3,1,2405
+1011400000.0ns,s3,2,2832
+1011400000.0ns,s15,0,24
+1011400000.0ns,s15,1,117
+1011400000.0ns,s15,2,94
+1011400000.0ns,s15,3,151
+1011500000.0ns,s6,2,1428
+1011500000.0ns,s6,3,129
+1011500000.0ns,s3,4,323
+1011500000.0ns,s3,1,2405
+1011500000.0ns,s3,2,2832
+1011500000.0ns,s15,0,24
+1011500000.0ns,s15,1,117
+1011500000.0ns,s15,2,94
+1011500000.0ns,s15,3,151
+1011600000.0ns,s6,2,1428
+1011600000.0ns,s6,3,129
+1011600000.0ns,s3,4,323
+1011600000.0ns,s3,1,2405
+1011600000.0ns,s3,2,2832
+1011600000.0ns,s15,0,24
+1011600000.0ns,s15,1,117
+1011600000.0ns,s15,2,94
+1011600000.0ns,s15,3,151
+1011700000.0ns,s6,2,1428
+1011700000.0ns,s6,3,129
+1011700000.0ns,s3,4,323
+1011700000.0ns,s3,1,2405
+1011700000.0ns,s3,2,2832
+1011700000.0ns,s15,0,24
+1011700000.0ns,s15,1,117
+1011700000.0ns,s15,2,94
+1011700000.0ns,s15,3,151
+1011800000.0ns,s6,2,1428
+1011800000.0ns,s6,3,129
+1011800000.0ns,s3,4,323
+1011800000.0ns,s3,1,2405
+1011800000.0ns,s3,2,2832
+1011800000.0ns,s15,0,24
+1011800000.0ns,s15,1,117
+1011800000.0ns,s15,2,94
+1011800000.0ns,s15,3,151
+1011900000.0ns,s6,2,1428
+1011900000.0ns,s6,3,129
+1011900000.0ns,s3,4,323
+1011900000.0ns,s3,1,2405
+1011900000.0ns,s3,2,2832
+1011900000.0ns,s15,0,24
+1011900000.0ns,s15,1,117
+1011900000.0ns,s15,2,94
+1011900000.0ns,s15,3,151
+1012000000.0ns,s6,2,1428
+1012000000.0ns,s6,3,129
+1012000000.0ns,s3,4,323
+1012000000.0ns,s3,1,2405
+1012000000.0ns,s3,2,2832
+1012000000.0ns,s15,0,24
+1012000000.0ns,s15,1,117
+1012000000.0ns,s15,2,94
+1012000000.0ns,s15,3,151
+1012100000.0ns,s6,2,1428
+1012100000.0ns,s6,3,129
+1012100000.0ns,s3,4,323
+1012100000.0ns,s3,1,2405
+1012100000.0ns,s3,2,2832
+1012100000.0ns,s15,0,24
+1012100000.0ns,s15,1,117
+1012100000.0ns,s15,2,94
+1012100000.0ns,s15,3,151
+1012200000.0ns,s6,2,1428
+1012200000.0ns,s6,3,129
+1012200000.0ns,s3,4,323
+1012200000.0ns,s3,1,2405
+1012200000.0ns,s3,2,2832
+1012200000.0ns,s15,0,24
+1012200000.0ns,s15,1,117
+1012200000.0ns,s15,2,94
+1012200000.0ns,s15,3,151
+1012300000.0ns,s6,2,1428
+1012300000.0ns,s6,3,129
+1012300000.0ns,s3,4,323
+1012300000.0ns,s3,1,2405
+1012300000.0ns,s3,2,2832
+1012300000.0ns,s15,0,24
+1012300000.0ns,s15,1,117
+1012300000.0ns,s15,2,94
+1012300000.0ns,s15,3,151
+1012400000.0ns,s6,2,1428
+1012400000.0ns,s6,3,129
+1012400000.0ns,s3,4,323
+1012400000.0ns,s3,1,2405
+1012400000.0ns,s3,2,2832
+1012400000.0ns,s15,0,24
+1012400000.0ns,s15,1,117
+1012400000.0ns,s15,2,94
+1012400000.0ns,s15,3,151
+1012500000.0ns,s6,2,1428
+1012500000.0ns,s6,3,129
+1012500000.0ns,s3,4,323
+1012500000.0ns,s3,1,2405
+1012500000.0ns,s3,2,2832
+1012500000.0ns,s15,0,24
+1012500000.0ns,s15,1,117
+1012500000.0ns,s15,2,94
+1012500000.0ns,s15,3,151
+1012600000.0ns,s6,2,1428
+1012600000.0ns,s6,3,129
+1012600000.0ns,s3,4,323
+1012600000.0ns,s3,1,2405
+1012600000.0ns,s3,2,2832
+1012600000.0ns,s15,0,24
+1012600000.0ns,s15,1,117
+1012600000.0ns,s15,2,94
+1012600000.0ns,s15,3,151
+1012700000.0ns,s6,2,1428
+1012700000.0ns,s6,3,129
+1012700000.0ns,s3,4,323
+1012700000.0ns,s3,1,2405
+1012700000.0ns,s3,2,2832
+1012700000.0ns,s15,0,24
+1012700000.0ns,s15,1,117
+1012700000.0ns,s15,2,94
+1012700000.0ns,s15,3,151
+1012800000.0ns,s6,2,1428
+1012800000.0ns,s6,3,129
+1012800000.0ns,s3,4,323
+1012800000.0ns,s3,1,2405
+1012800000.0ns,s3,2,2832
+1012800000.0ns,s15,0,24
+1012800000.0ns,s15,1,117
+1012800000.0ns,s15,2,94
+1012800000.0ns,s15,3,151
+1012900000.0ns,s6,2,1428
+1012900000.0ns,s6,3,129
+1012900000.0ns,s3,4,323
+1012900000.0ns,s3,1,2405
+1012900000.0ns,s3,2,2832
+1012900000.0ns,s15,0,24
+1012900000.0ns,s15,1,117
+1012900000.0ns,s15,2,94
+1012900000.0ns,s15,3,151
+1013000000.0ns,s6,2,1428
+1013000000.0ns,s6,3,129
+1013000000.0ns,s3,4,323
+1013000000.0ns,s3,1,2405
+1013000000.0ns,s3,2,2832
+1013000000.0ns,s15,0,24
+1013000000.0ns,s15,1,117
+1013000000.0ns,s15,2,94
+1013000000.0ns,s15,3,151
+1013100000.0ns,s6,2,1428
+1013100000.0ns,s6,3,129
+1013100000.0ns,s3,4,323
+1013100000.0ns,s3,1,2405
+1013100000.0ns,s3,2,2832
+1013100000.0ns,s15,0,24
+1013100000.0ns,s15,1,117
+1013100000.0ns,s15,2,94
+1013100000.0ns,s15,3,151
+1013200000.0ns,s6,2,1428
+1013200000.0ns,s6,3,129
+1013200000.0ns,s3,4,323
+1013200000.0ns,s3,1,2405
+1013200000.0ns,s3,2,2832
+1013200000.0ns,s15,0,24
+1013200000.0ns,s15,1,156
+1013200000.0ns,s15,2,132
+1013200000.0ns,s15,3,220
+1013300000.0ns,s6,2,1428
+1013300000.0ns,s6,3,129
+1013300000.0ns,s3,4,323
+1013300000.0ns,s3,1,2405
+1013300000.0ns,s3,2,2832
+1013300000.0ns,s15,0,24
+1013300000.0ns,s15,1,289
+1013300000.0ns,s15,2,258
+1013300000.0ns,s15,3,451
+1013400000.0ns,s6,2,1428
+1013400000.0ns,s6,3,129
+1013400000.0ns,s3,4,323
+1013400000.0ns,s3,1,2405
+1013400000.0ns,s3,2,2832
+1013400000.0ns,s15,0,24
+1013400000.0ns,s15,1,289
+1013400000.0ns,s15,2,258
+1013400000.0ns,s15,3,451
+1013500000.0ns,s6,2,1428
+1013500000.0ns,s6,3,129
+1013500000.0ns,s3,4,323
+1013500000.0ns,s3,1,2405
+1013500000.0ns,s3,2,2832
+1013500000.0ns,s15,0,24
+1013500000.0ns,s15,1,289
+1013500000.0ns,s15,2,258
+1013500000.0ns,s15,3,451
+1013600000.0ns,s6,2,1428
+1013600000.0ns,s6,3,129
+1013600000.0ns,s3,4,323
+1013600000.0ns,s3,1,2405
+1013600000.0ns,s3,2,2832
+1013600000.0ns,s15,0,24
+1013600000.0ns,s15,1,289
+1013600000.0ns,s15,2,258
+1013600000.0ns,s15,3,451
+1013700000.0ns,s6,2,1428
+1013700000.0ns,s6,3,129
+1013700000.0ns,s3,4,323
+1013700000.0ns,s3,1,2405
+1013700000.0ns,s3,2,2832
+1013700000.0ns,s15,0,24
+1013700000.0ns,s15,1,289
+1013700000.0ns,s15,2,258
+1013700000.0ns,s15,3,451
+1013800000.0ns,s6,2,1428
+1013800000.0ns,s6,3,129
+1013800000.0ns,s3,4,323
+1013800000.0ns,s3,1,2405
+1013800000.0ns,s3,2,2832
+1013800000.0ns,s15,0,24
+1013800000.0ns,s15,1,289
+1013800000.0ns,s15,2,258
+1013800000.0ns,s15,3,451
+1013900000.0ns,s6,2,1428
+1013900000.0ns,s6,3,129
+1013900000.0ns,s3,4,323
+1013900000.0ns,s3,1,2405
+1013900000.0ns,s3,2,2832
+1013900000.0ns,s15,0,24
+1013900000.0ns,s15,1,289
+1013900000.0ns,s15,2,258
+1013900000.0ns,s15,3,451
+1014000000.0ns,s6,2,1428
+1014000000.0ns,s6,3,129
+1014000000.0ns,s3,4,323
+1014000000.0ns,s3,1,2405
+1014000000.0ns,s3,2,2832
+1014000000.0ns,s15,0,24
+1014000000.0ns,s15,1,289
+1014000000.0ns,s15,2,258
+1014000000.0ns,s15,3,451
+1014100000.0ns,s6,2,1428
+1014100000.0ns,s6,3,129
+1014100000.0ns,s3,4,323
+1014100000.0ns,s3,1,2405
+1014100000.0ns,s3,2,2832
+1014100000.0ns,s15,0,24
+1014100000.0ns,s15,1,289
+1014100000.0ns,s15,2,258
+1014100000.0ns,s15,3,451
+1014200000.0ns,s6,2,1428
+1014200000.0ns,s6,3,129
+1014200000.0ns,s3,4,323
+1014200000.0ns,s3,1,2405
+1014200000.0ns,s3,2,2832
+1014200000.0ns,s15,0,24
+1014200000.0ns,s15,1,289
+1014200000.0ns,s15,2,258
+1014200000.0ns,s15,3,451
+1014300000.0ns,s6,2,1428
+1014300000.0ns,s6,3,129
+1014300000.0ns,s3,4,323
+1014300000.0ns,s3,1,2405
+1014300000.0ns,s3,2,2832
+1014300000.0ns,s15,0,24
+1014300000.0ns,s15,1,289
+1014300000.0ns,s15,2,258
+1014300000.0ns,s15,3,451
+1014400000.0ns,s6,2,1428
+1014400000.0ns,s6,3,129
+1014400000.0ns,s3,4,323
+1014400000.0ns,s3,1,2405
+1014400000.0ns,s3,2,2832
+1014400000.0ns,s15,0,24
+1014400000.0ns,s15,1,289
+1014400000.0ns,s15,2,258
+1014400000.0ns,s15,3,451
+1014400000.0ns,s20,0,197
+1014400000.0ns,s20,1,376
+1014400000.0ns,s20,2,183
+1014400000.0ns,s20,3,97
+1014500000.0ns,s6,2,1428
+1014500000.0ns,s6,3,129
+1014500000.0ns,s3,4,323
+1014500000.0ns,s3,1,2405
+1014500000.0ns,s3,2,2832
+1014500000.0ns,s15,0,24
+1014500000.0ns,s15,1,289
+1014500000.0ns,s15,2,258
+1014500000.0ns,s15,3,451
+1014500000.0ns,s20,0,316
+1014500000.0ns,s20,1,747
+1014500000.0ns,s20,2,342
+1014500000.0ns,s20,3,97
+1014600000.0ns,s6,2,1428
+1014600000.0ns,s6,3,129
+1014600000.0ns,s3,4,323
+1014600000.0ns,s3,1,2405
+1014600000.0ns,s3,2,2832
+1014600000.0ns,s15,0,24
+1014600000.0ns,s15,1,289
+1014600000.0ns,s15,2,258
+1014600000.0ns,s15,3,451
