Time,Node,PortIndex,DropPacket
+1001900000.0ns,s1,1,98
+1001900000.0ns,s1,2,124
+1001900000.0ns,s1,3,105
+1002000000.0ns,s1,1,553
+1002000000.0ns,s1,2,512
+1002000000.0ns,s1,3,560
+1002100000.0ns,s1,1,1006
+1002100000.0ns,s1,2,989
+1002100000.0ns,s1,3,1038
+1002100000.0ns,s3,4,314
+1002100000.0ns,s3,1,295
+1002100000.0ns,s3,2,288
+1002200000.0ns,s1,1,1429
+1002200000.0ns,s1,2,1480
+1002200000.0ns,s1,3,1438
+1002200000.0ns,s3,4,816
+1002200000.0ns,s3,1,815
+1002200000.0ns,s3,2,683
+1002300000.0ns,s1,1,1917
+1002300000.0ns,s1,2,1988
+1002300000.0ns,s1,3,1983
+1002300000.0ns,s3,4,1134
+1002300000.0ns,s3,1,1253
+1002300000.0ns,s3,2,893
+1002400000.0ns,s1,1,2433
+1002400000.0ns,s1,2,2481
+1002400000.0ns,s1,3,2538
+1002400000.0ns,s3,4,1571
+1002400000.0ns,s3,1,1761
+1002400000.0ns,s3,2,1201
+1002500000.0ns,s1,1,2946
+1002500000.0ns,s1,2,3040
+1002500000.0ns,s1,3,3058
+1002500000.0ns,s3,4,2056
+1002500000.0ns,s3,1,2320
+1002500000.0ns,s3,2,1642
+1002600000.0ns,s1,1,3462
+1002600000.0ns,s1,2,3486
+1002600000.0ns,s1,3,3584
+1002600000.0ns,s3,4,2494
+1002600000.0ns,s3,1,2843
+1002600000.0ns,s3,2,1931
+1002600000.0ns,s27,0,321
+1002600000.0ns,s27,1,277
+1002600000.0ns,s27,3,86
+1002700000.0ns,s1,1,3952
+1002700000.0ns,s1,2,3969
+1002700000.0ns,s1,3,4083
+1002700000.0ns,s3,4,2924
+1002700000.0ns,s3,1,3369
+1002700000.0ns,s3,2,2192
+1002700000.0ns,s27,0,569
+1002700000.0ns,s27,1,568
+1002700000.0ns,s27,3,196
+1002800000.0ns,s1,1,4450
+1002800000.0ns,s1,2,4434
+1002800000.0ns,s1,3,4601
+1002800000.0ns,s3,4,3456
+1002800000.0ns,s3,1,3887
+1002800000.0ns,s3,2,2536
+1002800000.0ns,s27,0,999
+1002800000.0ns,s27,1,902
+1002800000.0ns,s27,3,389
+1002900000.0ns,s1,1,4964
+1002900000.0ns,s1,2,4937
+1002900000.0ns,s1,3,5133
+1002900000.0ns,s3,4,3966
+1002900000.0ns,s3,1,4385
+1002900000.0ns,s3,2,2968
+1002900000.0ns,s27,0,1360
+1002900000.0ns,s27,1,1284
+1002900000.0ns,s27,3,549
+1003000000.0ns,s1,1,5500
+1003000000.0ns,s1,2,5435
+1003000000.0ns,s1,3,5667
+1003000000.0ns,s3,4,4420
+1003000000.0ns,s3,1,4888
+1003000000.0ns,s3,2,3304
+1003000000.0ns,s12,2,20
+1003000000.0ns,s12,3,31
+1003000000.0ns,s27,0,1654
+1003000000.0ns,s27,1,1548
+1003000000.0ns,s27,3,691
+1003100000.0ns,s1,1,6001
+1003100000.0ns,s1,2,5879
+1003100000.0ns,s1,3,6160
+1003100000.0ns,s3,4,4954
+1003100000.0ns,s3,1,5401
+1003100000.0ns,s3,2,3711
+1003100000.0ns,s12,2,415
+1003100000.0ns,s12,3,474
+1003100000.0ns,s27,0,1988
+1003100000.0ns,s27,1,1875
+1003100000.0ns,s27,3,838
+1003200000.0ns,s1,1,6474
+1003200000.0ns,s1,2,6326
+1003200000.0ns,s1,3,6626
+1003200000.0ns,s3,4,5442
+1003200000.0ns,s3,1,5941
+1003200000.0ns,s3,2,4126
+1003200000.0ns,s12,2,847
+1003200000.0ns,s12,3,900
+1003200000.0ns,s27,0,2318
+1003200000.0ns,s27,1,2261
+1003200000.0ns,s27,3,1013
+1003300000.0ns,s1,1,6979
+1003300000.0ns,s1,2,6759
+1003300000.0ns,s1,3,7134
+1003300000.0ns,s2,4,290
+1003300000.0ns,s2,2,207
+1003300000.0ns,s3,4,5952
+1003300000.0ns,s3,1,6460
+1003300000.0ns,s3,2,4535
+1003300000.0ns,s5,2,421
+1003300000.0ns,s5,3,450
+1003300000.0ns,s12,2,1260
+1003300000.0ns,s12,3,1371
+1003300000.0ns,s27,0,2687
+1003300000.0ns,s27,1,2656
+1003300000.0ns,s27,3,1178
+1003300000.0ns,s34,0,104
+1003300000.0ns,s34,1,91
+1003400000.0ns,s1,1,7520
+1003400000.0ns,s1,2,7143
+1003400000.0ns,s1,3,7638
+1003400000.0ns,s2,4,644
+1003400000.0ns,s2,2,551
+1003400000.0ns,s3,4,6465
+1003400000.0ns,s3,1,6946
+1003400000.0ns,s3,2,4920
+1003400000.0ns,s4,2,59
+1003400000.0ns,s4,3,74
+1003400000.0ns,s5,2,825
+1003400000.0ns,s5,3,871
+1003400000.0ns,s12,2,1690
+1003400000.0ns,s12,3,1773
+1003400000.0ns,s27,0,3035
+1003400000.0ns,s27,1,3015
+1003400000.0ns,s27,3,1425
+1003400000.0ns,s34,0,394
+1003400000.0ns,s34,1,418
+1003500000.0ns,s1,1,8048
+1003500000.0ns,s1,2,7588
+1003500000.0ns,s1,3,8155
+1003500000.0ns,s2,4,1040
+1003500000.0ns,s2,2,970
+1003500000.0ns,s3,4,6947
+1003500000.0ns,s3,1,7439
+1003500000.0ns,s3,2,5365
+1003500000.0ns,s4,2,372
+1003500000.0ns,s4,3,403
+1003500000.0ns,s5,2,1189
+1003500000.0ns,s5,3,1332
+1003500000.0ns,s12,2,2126
+1003500000.0ns,s12,3,2184
+1003500000.0ns,s27,0,3418
+1003500000.0ns,s27,1,3432
+1003500000.0ns,s27,3,1635
+1003500000.0ns,s34,0,703
+1003500000.0ns,s34,1,714
+1003600000.0ns,s1,1,8534
+1003600000.0ns,s1,2,8007
+1003600000.0ns,s1,3,8647
+1003600000.0ns,s2,4,1426
+1003600000.0ns,s2,2,1342
+1003600000.0ns,s3,4,7433
+1003600000.0ns,s3,1,7922
+1003600000.0ns,s3,2,5818
+1003600000.0ns,s4,2,736
+1003600000.0ns,s4,3,786
+1003600000.0ns,s5,2,1548
+1003600000.0ns,s5,3,1729
+1003600000.0ns,s12,2,2585
+1003600000.0ns,s12,3,2586
+1003600000.0ns,s27,0,3725
+1003600000.0ns,s27,1,3742
+1003600000.0ns,s27,3,1812
+1003600000.0ns,s34,0,1037
+1003600000.0ns,s34,1,1073
+1003700000.0ns,s1,1,9059
+1003700000.0ns,s1,2,8391
+1003700000.0ns,s1,3,9169
+1003700000.0ns,s2,4,1751
+1003700000.0ns,s2,2,1723
+1003700000.0ns,s3,4,7902
+1003700000.0ns,s3,1,8414
+1003700000.0ns,s3,2,6300
+1003700000.0ns,s4,2,1041
+1003700000.0ns,s4,3,1130
+1003700000.0ns,s5,2,1995
+1003700000.0ns,s5,3,2214
+1003700000.0ns,s12,2,3012
+1003700000.0ns,s12,3,3031
+1003700000.0ns,s27,0,4073
+1003700000.0ns,s27,1,4135
+1003700000.0ns,s27,3,2054
+1003700000.0ns,s34,0,1288
+1003700000.0ns,s34,1,1388
+1003700000.0ns,s35,0,119
+1003700000.0ns,s35,1,88
+1003700000.0ns,s35,3,115
+1003800000.0ns,s1,1,9566
+1003800000.0ns,s1,2,8862
+1003800000.0ns,s1,3,9698
+1003800000.0ns,s6,2,364
+1003800000.0ns,s6,3,341
+1003800000.0ns,s2,4,2149
+1003800000.0ns,s2,2,2091
+1003800000.0ns,s3,4,8369
+1003800000.0ns,s3,1,8982
+1003800000.0ns,s3,2,6782
+1003800000.0ns,s4,2,1380
+1003800000.0ns,s4,3,1479
+1003800000.0ns,s5,2,2446
+1003800000.0ns,s5,3,2673
+1003800000.0ns,s12,2,3470
+1003800000.0ns,s12,3,3483
+1003800000.0ns,s27,0,4391
+1003800000.0ns,s27,1,4445
+1003800000.0ns,s27,3,2277
+1003800000.0ns,s34,0,1604
+1003800000.0ns,s34,1,1690
+1003800000.0ns,s34,2,11
+1003800000.0ns,s35,0,450
+1003800000.0ns,s35,1,405
+1003800000.0ns,s35,3,263
+1003900000.0ns,s1,1,10084
+1003900000.0ns,s1,2,9255
+1003900000.0ns,s1,3,10190
+1003900000.0ns,s6,2,704
+1003900000.0ns,s6,3,712
+1003900000.0ns,s2,4,2554
+1003900000.0ns,s2,2,2458
+1003900000.0ns,s3,4,8900
+1003900000.0ns,s3,1,9525
+1003900000.0ns,s3,2,7283
+1003900000.0ns,s4,2,1756
+1003900000.0ns,s4,3,1865
+1003900000.0ns,s5,2,2890
+1003900000.0ns,s5,3,3167
+1003900000.0ns,s12,2,3941
+1003900000.0ns,s12,3,3912
+1003900000.0ns,s27,0,4792
+1003900000.0ns,s27,1,4845
+1003900000.0ns,s27,3,2484
+1003900000.0ns,s34,0,1897
+1003900000.0ns,s34,1,2008
+1003900000.0ns,s34,2,11
+1003900000.0ns,s35,0,625
+1003900000.0ns,s35,1,553
+1003900000.0ns,s35,3,397
+1004000000.0ns,s1,1,10686
+1004000000.0ns,s1,2,9746
+1004000000.0ns,s1,3,10680
+1004000000.0ns,s6,2,1103
+1004000000.0ns,s6,3,1119
+1004000000.0ns,s2,4,2943
+1004000000.0ns,s2,2,2825
+1004000000.0ns,s3,4,9403
+1004000000.0ns,s3,1,10072
+1004000000.0ns,s3,2,7783
+1004000000.0ns,s4,2,2151
+1004000000.0ns,s4,3,2261
+1004000000.0ns,s5,2,3397
+1004000000.0ns,s5,3,3587
+1004000000.0ns,s12,2,4354
+1004000000.0ns,s12,3,4410
+1004000000.0ns,s27,0,5146
+1004000000.0ns,s27,1,5207
+1004000000.0ns,s27,3,2749
+1004000000.0ns,s34,0,2256
+1004000000.0ns,s34,1,2348
+1004000000.0ns,s34,2,11
+1004000000.0ns,s35,0,872
+1004000000.0ns,s35,1,788
+1004000000.0ns,s35,3,509
+1004100000.0ns,s1,1,11245
+1004100000.0ns,s1,2,10200
+1004100000.0ns,s1,3,11159
+1004100000.0ns,s6,2,1490
+1004100000.0ns,s6,3,1514
+1004100000.0ns,s2,4,3325
+1004100000.0ns,s2,2,3233
+1004100000.0ns,s3,4,9938
+1004100000.0ns,s3,1,10640
+1004100000.0ns,s3,2,8311
+1004100000.0ns,s4,2,2536
+1004100000.0ns,s4,3,2670
+1004100000.0ns,s5,2,3888
+1004100000.0ns,s5,3,4047
+1004100000.0ns,s10,2,165
+1004100000.0ns,s10,3,171
+1004100000.0ns,s12,2,4779
+1004100000.0ns,s12,3,4891
+1004100000.0ns,s27,0,5529
+1004100000.0ns,s27,1,5593
+1004100000.0ns,s27,3,3071
+1004100000.0ns,s34,0,2644
+1004100000.0ns,s34,1,2659
+1004100000.0ns,s34,2,11
+1004100000.0ns,s35,0,1150
+1004100000.0ns,s35,1,1025
+1004100000.0ns,s35,3,672
+1004200000.0ns,s1,1,11777
+1004200000.0ns,s1,2,10676
+1004200000.0ns,s1,3,11709
+1004200000.0ns,s6,2,1893
+1004200000.0ns,s6,3,1958
+1004200000.0ns,s2,4,3733
+1004200000.0ns,s2,2,3615
+1004200000.0ns,s3,4,10473
+1004200000.0ns,s3,1,11164
+1004200000.0ns,s3,2,8809
+1004200000.0ns,s4,2,2883
+1004200000.0ns,s4,3,3148
+1004200000.0ns,s5,2,4340
+1004200000.0ns,s5,3,4532
+1004200000.0ns,s10,2,414
+1004200000.0ns,s10,3,440
+1004200000.0ns,s12,2,5207
+1004200000.0ns,s12,3,5357
+1004200000.0ns,s27,0,5867
+1004200000.0ns,s27,1,5900
+1004200000.0ns,s27,3,3289
+1004200000.0ns,s34,0,3039
+1004200000.0ns,s34,1,3143
+1004200000.0ns,s34,2,11
+1004200000.0ns,s35,0,1396
+1004200000.0ns,s35,1,1252
+1004200000.0ns,s35,3,903
+1004300000.0ns,s1,1,12369
+1004300000.0ns,s1,2,11171
+1004300000.0ns,s1,3,12259
+1004300000.0ns,s6,2,2342
+1004300000.0ns,s6,3,2414
+1004300000.0ns,s2,4,4129
+1004300000.0ns,s2,2,4010
+1004300000.0ns,s3,4,10992
+1004300000.0ns,s3,1,11734
+1004300000.0ns,s3,2,9278
+1004300000.0ns,s4,2,3285
+1004300000.0ns,s4,3,3586
+1004300000.0ns,s5,2,4836
+1004300000.0ns,s5,3,4961
+1004300000.0ns,s10,2,737
+1004300000.0ns,s10,3,760
+1004300000.0ns,s12,2,5633
+1004300000.0ns,s12,3,5832
+1004300000.0ns,s27,0,6290
+1004300000.0ns,s27,1,6343
+1004300000.0ns,s27,3,3665
+1004300000.0ns,s28,0,397
+1004300000.0ns,s28,1,352
+1004300000.0ns,s34,0,3421
+1004300000.0ns,s34,1,3558
+1004300000.0ns,s34,2,11
+1004300000.0ns,s35,0,1549
+1004300000.0ns,s35,1,1419
+1004300000.0ns,s35,3,1028
+1004400000.0ns,s1,1,12947
+1004400000.0ns,s1,2,11665
+1004400000.0ns,s1,3,12803
+1004400000.0ns,s6,2,2778
+1004400000.0ns,s6,3,2909
+1004400000.0ns,s2,4,4524
+1004400000.0ns,s2,2,4413
+1004400000.0ns,s3,4,11550
+1004400000.0ns,s3,1,12262
+1004400000.0ns,s3,2,9808
+1004400000.0ns,s4,2,3699
+1004400000.0ns,s4,3,3968
+1004400000.0ns,s5,2,5296
+1004400000.0ns,s5,3,5398
+1004400000.0ns,s10,2,1038
+1004400000.0ns,s10,3,1027
+1004400000.0ns,s12,2,6041
+1004400000.0ns,s12,3,6323
+1004400000.0ns,s27,0,6520
+1004400000.0ns,s27,1,6625
+1004400000.0ns,s27,3,3879
+1004400000.0ns,s28,0,627
+1004400000.0ns,s28,1,556
+1004400000.0ns,s34,0,3880
+1004400000.0ns,s34,1,3984
+1004400000.0ns,s34,2,11
+1004400000.0ns,s35,0,1887
+1004400000.0ns,s35,1,1711
+1004400000.0ns,s35,3,1215
+1004500000.0ns,s1,1,13571
+1004500000.0ns,s1,2,12183
+1004500000.0ns,s1,3,13328
+1004500000.0ns,s6,2,3212
+1004500000.0ns,s6,3,3388
+1004500000.0ns,s2,4,4894
+1004500000.0ns,s2,2,4875
+1004500000.0ns,s3,4,12089
+1004500000.0ns,s3,1,12822
+1004500000.0ns,s3,2,10331
+1004500000.0ns,s4,2,4065
+1004500000.0ns,s4,3,4411
+1004500000.0ns,s5,2,5772
+1004500000.0ns,s5,3,5863
+1004500000.0ns,s10,2,1311
+1004500000.0ns,s10,3,1370
+1004500000.0ns,s12,2,6441
+1004500000.0ns,s12,3,6809
+1004500000.0ns,s27,0,6988
+1004500000.0ns,s27,1,7076
+1004500000.0ns,s27,3,4160
+1004500000.0ns,s28,0,969
+1004500000.0ns,s28,1,991
+1004500000.0ns,s28,3,317
+1004500000.0ns,s34,0,4310
+1004500000.0ns,s34,1,4477
