Time,Node,PortIndex,RxByte
+1000000000.0ns,s42,0,0
+1000100000.0ns,s42,0,0
+1000200000.0ns,s42,0,0
+1000300000.0ns,s42,0,0
+1000400000.0ns,s42,0,0
+1000500000.0ns,s42,0,0
+1000600000.0ns,s42,0,0
+1000700000.0ns,s42,0,1652550
+1000800000.0ns,s42,0,3806326
+1000900000.0ns,s42,0,5197770
+1001000000.0ns,s42,0,6497555
+1001100000.0ns,s42,0,7443080
+1001200000.0ns,s42,0,8812865
+1001300000.0ns,s42,0,10072865
+1001400000.0ns,s42,0,11332865
+1001500000.0ns,s42,0,12594365
+1001600000.0ns,s42,0,13128851
+1001700000.0ns,s42,0,13128851
+1001800000.0ns,s42,0,13128851
+1001900000.0ns,s42,0,13128851
+1002000000.0ns,s42,0,13128851
+1002100000.0ns,s42,0,13128851
+1002200000.0ns,s42,0,13128851
+1002300000.0ns,s42,0,13128851
+1002400000.0ns,s42,0,17296782
+1002500000.0ns,s42,0,22469400
+1002600000.0ns,s42,0,27601618
+1002700000.0ns,s42,0,32643729
+1002800000.0ns,s42,0,37686729
+1002900000.0ns,s42,0,42728229
+1003000000.0ns,s42,0,47769279
+1003100000.0ns,s42,0,52811222
+1003200000.0ns,s42,0,57250525
+1003300000.0ns,s42,0,57250525
+1003400000.0ns,s42,0,57250525
+1003500000.0ns,s42,0,57250525
+1003600000.0ns,s42,0,57250525
+1003700000.0ns,s42,0,57250525
+1003800000.0ns,s42,0,57250525
+1003900000.0ns,s42,0,57250525
+1004000000.0ns,s42,0,57250525
+1004100000.0ns,s42,0,57250525
+1004200000.0ns,s42,0,57250525
+1004300000.0ns,s42,0,57250525
+1004400000.0ns,s42,0,57250525
+1004500000.0ns,s42,0,57250525
+1004600000.0ns,s42,0,57250525
+1004700000.0ns,s42,0,57250525
+1004800000.0ns,s42,0,57250525
+1004900000.0ns,s42,0,57250525
+1005000000.0ns,s42,0,57250525
+1005100000.0ns,s42,0,57250525
+1005200000.0ns,s42,0,57250525
+1005300000.0ns,s42,0,57250525
+1005400000.0ns,s42,0,57250525
+1005500000.0ns,s42,0,57250525
+1005600000.0ns,s42,0,57250525
+1005700000.0ns,s42,0,57250525
+1005800000.0ns,s42,0,57250525
+1005900000.0ns,s42,0,57250525
+1006000000.0ns,s42,0,57250525
+1006100000.0ns,s42,0,57250525
+1006200000.0ns,s42,0,57250525
+1006300000.0ns,s42,0,62113994
+1006400000.0ns,s42,0,67285041
+1006500000.0ns,s42,0,72458096
+1006600000.0ns,s42,0,77630680
+1006700000.0ns,s42,0,82803397
+1006800000.0ns,s42,0,87975142
+1006900000.0ns,s42,0,93148180
+1007000000.0ns,s42,0,98319686
+1007100000.0ns,s42,0,103124698
+1007200000.0ns,s42,0,103124698
+1007300000.0ns,s42,0,103124698
+1007400000.0ns,s42,0,103124698
+1007500000.0ns,s42,0,103124698
+1007600000.0ns,s42,0,103124698
+1007700000.0ns,s42,0,103124698
+1007800000.0ns,s42,0,103124698
+1007900000.0ns,s42,0,103124698
+1008000000.0ns,s42,0,103124698
+1008100000.0ns,s42,0,103124698
+1008200000.0ns,s42,0,103124698
+1008300000.0ns,s42,0,103124698
+1008400000.0ns,s42,0,103124698
+1008500000.0ns,s42,0,103124698
+1008600000.0ns,s42,0,103124698
+1008700000.0ns,s42,0,103124698
+1008800000.0ns,s42,0,104706895
+1008900000.0ns,s42,0,109878921
+1009000000.0ns,s42,0,115051462
+1009100000.0ns,s42,0,120225104
+1009200000.0ns,s42,0,125397008
+1009300000.0ns,s42,0,130569008
+1009400000.0ns,s42,0,135741948
+1009500000.0ns,s42,0,140914367
+1009600000.0ns,s42,0,146054448
+1009700000.0ns,s42,0,151097630
+1009800000.0ns,s42,0,152311130
+1009900000.0ns,s42,0,152311130
+1010000000.0ns,s42,0,152311130
+1010100000.0ns,s42,0,152311130
+1010200000.0ns,s42,0,152311130
+1010300000.0ns,s42,0,152311130
+1010400000.0ns,s42,0,152311130
+1010500000.0ns,s42,0,152311130
+1010600000.0ns,s42,0,152311130
+1010700000.0ns,s42,0,152311130
+1010800000.0ns,s42,0,152311130
+1010900000.0ns,s42,0,152311130
+1011000000.0ns,s42,0,152311130
+1011100000.0ns,s42,0,152660630
+1011200000.0ns,s42,0,157833227
+1011300000.0ns,s42,0,163005937
+1011400000.0ns,s42,0,168178695
+1011500000.0ns,s42,0,173350406
+1011600000.0ns,s42,0,178522609
+1011700000.0ns,s42,0,183695302
+1011800000.0ns,s42,0,188868189
+1011900000.0ns,s42,0,194039968
+1012000000.0ns,s42,0,199083387
+1012100000.0ns,s42,0,199093887
+1012200000.0ns,s42,0,199093887
+1012300000.0ns,s42,0,199093887
+1012400000.0ns,s42,0,199093887
+1012500000.0ns,s42,0,199093887
+1012600000.0ns,s42,0,199093887
+1012700000.0ns,s42,0,199093887
+1012800000.0ns,s42,0,199093887
+1012900000.0ns,s42,0,199093887
+1013000000.0ns,s42,0,199093887
+1013100000.0ns,s42,0,199093887
+1013200000.0ns,s42,0,199093887
+1013300000.0ns,s42,0,199093887
+1013400000.0ns,s42,0,199093887
+1013500000.0ns,s42,0,199093887
+1013600000.0ns,s42,0,199093887
+1013700000.0ns,s42,0,199093887
+1013800000.0ns,s42,0,199093887
+1013900000.0ns,s42,0,199093887
+1014000000.0ns,s42,0,199093887
+1014100000.0ns,s42,0,199093887
+1014200000.0ns,s42,0,199093887
+1014300000.0ns,s42,0,199093887
+1014400000.0ns,s42,0,199093887
+1014500000.0ns,s42,0,199093887
+1014600000.0ns,s42,0,199093887
+1014700000.0ns,s42,0,200559387
+1014800000.0ns,s42,0,205732670
+1014900000.0ns,s42,0,210904061
+1015000000.0ns,s42,0,216077427
+1015100000.0ns,s42,0,221249108
+1015200000.0ns,s42,0,226422155
+1015300000.0ns,s42,0,231593910
+1015400000.0ns,s42,0,236766321
+1015500000.0ns,s42,0,241911148
+1015600000.0ns,s42,0,246759802
+1015700000.0ns,s42,0,246759802
+1015800000.0ns,s42,0,246759802
+1015900000.0ns,s42,0,246759802
+1016000000.0ns,s42,0,246759802
+1016100000.0ns,s42,0,246759802
+1016200000.0ns,s42,0,246759802
+1016300000.0ns,s42,0,246759802
+1016400000.0ns,s42,0,246759802
+1016500000.0ns,s42,0,246759802
+1016600000.0ns,s42,0,246759802
+1016700000.0ns,s42,0,246759802
+1016800000.0ns,s42,0,246759802
+1016900000.0ns,s42,0,246759802
+1017000000.0ns,s42,0,246759802
+1017100000.0ns,s42,0,246759802
+1017200000.0ns,s42,0,246759802
+1017300000.0ns,s42,0,246759802
+1017400000.0ns,s42,0,246759802
+1017500000.0ns,s42,0,248441497
+1017600000.0ns,s42,0,253613366
+1017700000.0ns,s42,0,258787291
+1017800000.0ns,s42,0,263959415
+1017900000.0ns,s42,0,269130340
+1018000000.0ns,s42,0,274303006
+1018100000.0ns,s42,0,279476224
+1018200000.0ns,s42,0,284647803
+1018300000.0ns,s42,0,289787592
+1018400000.0ns,s42,0,291783857
+1018500000.0ns,s42,0,291783857
+1018600000.0ns,s42,0,291783857
+1018700000.0ns,s42,0,291783857
+1018800000.0ns,s42,0,291783857
+1018900000.0ns,s42,0,291783857
+1019000000.0ns,s42,0,291783857
+1019100000.0ns,s42,0,291783857
+1019200000.0ns,s42,0,291783857
+1019300000.0ns,s42,0,291783857
+1019400000.0ns,s42,0,291783857
+1019500000.0ns,s42,0,291783857
+1019600000.0ns,s42,0,296753664
+1019700000.0ns,s42,0,301926983
+1019800000.0ns,s42,0,307098433
+1019900000.0ns,s42,0,312270993
+1020000000.0ns,s42,0,317444329
+1020100000.0ns,s42,0,322615754
+1020200000.0ns,s42,0,327788345
+1020300000.0ns,s42,0,332961009
+1020400000.0ns,s42,0,336748509
+1020500000.0ns,s42,0,336748509
+1020600000.0ns,s42,0,336748509
+1020700000.0ns,s42,0,336748509
+1020800000.0ns,s42,0,336748509
+1020900000.0ns,s42,0,336748509
+1021000000.0ns,s42,0,336748509
+1021100000.0ns,s42,0,336748509
+1021200000.0ns,s42,0,336748509
+1021300000.0ns,s42,0,336748509
+1021400000.0ns,s42,0,336748509
+1021500000.0ns,s42,0,336748509
+1021600000.0ns,s42,0,336748509
+1021700000.0ns,s42,0,340301824
+1021800000.0ns,s42,0,345474322
+1021900000.0ns,s42,0,350646442
+1022000000.0ns,s42,0,355817978
+1022100000.0ns,s42,0,360991690
+1022200000.0ns,s42,0,366163099
+1022300000.0ns,s42,0,371336024
+1022400000.0ns,s42,0,376508688
+1022500000.0ns,s42,0,380775854
+1022600000.0ns,s42,0,380775854
+1022700000.0ns,s42,0,380775854
+1022800000.0ns,s42,0,380775854
+1022900000.0ns,s42,0,380775854
+1023000000.0ns,s42,0,380775854
+1023100000.0ns,s42,0,380775854
+1023200000.0ns,s42,0,380775854
+1023300000.0ns,s42,0,380775854
+1023400000.0ns,s42,0,380775854
+1023500000.0ns,s42,0,380775854
+1023600000.0ns,s42,0,381774425
+1023700000.0ns,s42,0,386947849
+1023800000.0ns,s42,0,392120053
+1023900000.0ns,s42,0,397291905
+1024000000.0ns,s42,0,402464991
+1024100000.0ns,s42,0,407636870
+1024200000.0ns,s42,0,412809873
+1024300000.0ns,s42,0,417981121
+1024400000.0ns,s42,0,423137239
+1024500000.0ns,s42,0,425481739
+1024600000.0ns,s42,0,425481739
+1024700000.0ns,s42,0,425481739
+1024800000.0ns,s42,0,425481739
+1024900000.0ns,s42,0,425481739
+1025000000.0ns,s42,0,425481739
+1025100000.0ns,s42,0,425481739
+1025200000.0ns,s42,0,425481739
+1025300000.0ns,s42,0,425481739
+1025400000.0ns,s42,0,426860146
+1025500000.0ns,s42,0,432032464
+1025600000.0ns,s42,0,437204515
+1025700000.0ns,s42,0,442376563
+1025800000.0ns,s42,0,446461578
+1025900000.0ns,s42,0,451214109
+1026000000.0ns,s42,0,456256418
+1026100000.0ns,s42,0,461297221
+1026200000.0ns,s42,0,466339333
+1026300000.0ns,s42,0,471257630
+1026400000.0ns,s42,0,471257630
+1026500000.0ns,s42,0,471257630
+1026600000.0ns,s42,0,471257630
+1026700000.0ns,s42,0,471257630
+1026800000.0ns,s42,0,471257630
+1026900000.0ns,s42,0,471257630
+1027000000.0ns,s42,0,471257630
+1027100000.0ns,s42,0,471257630
+1027200000.0ns,s42,0,471257630
+1027300000.0ns,s42,0,471257630
+1027400000.0ns,s42,0,471257630
+1027500000.0ns,s42,0,471257630
+1027600000.0ns,s42,0,471257630
+1027700000.0ns,s42,0,473391493
+1027800000.0ns,s42,0,478565052
+1027900000.0ns,s42,0,483736781
+1028000000.0ns,s42,0,488908621
+1028100000.0ns,s42,0,494082121
+1028200000.0ns,s42,0,499254215
+1028300000.0ns,s42,0,504425667
+1028400000.0ns,s42,0,509598361
+1028500000.0ns,s42,0,514726497
+1028600000.0ns,s42,0,516360483
+1028700000.0ns,s42,0,516360483
+1028800000.0ns,s42,0,516360483
+1028900000.0ns,s42,0,516360483
+1029000000.0ns,s42,0,516360483
+1029100000.0ns,s42,0,516360483
+1029200000.0ns,s42,0,516360483
+1029300000.0ns,s42,0,516360483
+1029400000.0ns,s42,0,516360483
+1029500000.0ns,s42,0,516360483
+1029600000.0ns,s42,0,518808483
+1029700000.0ns,s42,0,523980607
+1029800000.0ns,s42,0,529153417
+1029900000.0ns,s42,0,534325751
+1030000000.0ns,s42,0,538967760
+1030100000.0ns,s42,0,543204662
+1030200000.0ns,s42,0,547652162
+1030300000.0ns,s42,0,552368047
+1030400000.0ns,s42,0,556809589
+1030500000.0ns,s42,0,560563673
+1030600000.0ns,s42,0,560563673
+1030700000.0ns,s42,0,560563673
+1030800000.0ns,s42,0,560563673
+1030900000.0ns,s42,0,560563673
+1031000000.0ns,s42,0,560563673
+1031100000.0ns,s42,0,560563673
+1031200000.0ns,s42,0,560563673
+1031300000.0ns,s42,0,560563673
+1031400000.0ns,s42,0,560563673
+1031500000.0ns,s42,0,560563673
+1031600000.0ns,s42,0,560563673
+1031700000.0ns,s42,0,565555996
+1031800000.0ns,s42,0,570429267
+1031900000.0ns,s42,0,574816195
