FromNode,ToNode,SourcePort,DestinationPort,Size,Priority,StartTime,EndTime,Duration
h13,h2,1,1,54747,0,+1000151073.0ns,+1000162168.0ns,11095
h8,h9,1,1,25891,0,+1000164927.0ns,+1000173651.0ns,8724
h6,h16,1,1,75678,0,+1000236874.0ns,+1000249691.0ns,12817
h12,h16,1,1,30662,0,+1000320603.0ns,+1000329721.0ns,9118
h5,h12,1,1,67676,0,+1000326714.0ns,+1000338872.0ns,12158
h3,h13,1,1,51138,0,+1000249027.0ns,+1000358038.0ns,109011
h4,h14,1,1,1579544,0,+1000136736.0ns,+1000403700.0ns,266964
h10,h7,1,1,171512,0,+1000399558.0ns,+1000420251.0ns,20693
h9,h10,1,1,1837985,0,+1000295431.0ns,+1000450150.0ns,154719
h15,h10,1,1,74158,0,+1000439586.0ns,+1000455253.0ns,15667
h10,h5,1,1,28183,0,+1000447993.0ns,+1000459213.0ns,11220
h16,h13,1,1,3332655,0,+1000131587.0ns,+1000589640.0ns,458053
h2,h5,1,1,25050,0,+1000647367.0ns,+1000660361.0ns,12994
h13,h20,2,1,54747,0,+1000258983.0ns,+1000674540.0ns,415557
h14,h9,1,1,346951,0,+1000643331.0ns,+1000680300.0ns,36969
h8,h22,2,1,25891,0,+1000282732.0ns,+1000694732.0ns,412000
h6,h23,2,1,75678,0,+1000406071.0ns,+1000833320.0ns,427249
h3,h23,2,1,51138,0,+1000426903.0ns,+1000850377.0ns,423474
h12,h16,1,2,32029,0,+1000846281.0ns,+1000855512.0ns,9231
h5,h4,1,1,1558042,0,+1000618278.0ns,+1000859475.0ns,241197
h4,h23,2,1,1579544,0,+1000234405.0ns,+1000869757.0ns,635352
h13,h7,1,1,6713,0,+1000909963.0ns,+1000917542.0ns,7579
h13,h11,1,1,66648,0,+1000909442.0ns,+1000925784.0ns,16342
h15,h14,1,1,871871,0,+1000870312.0ns,+1000946325.0ns,76013
h14,h16,1,1,57885,0,+1000939122.0ns,+1000948237.0ns,9115
h12,h23,2,1,30662,0,+1000549606.0ns,+1000987437.0ns,437831
h5,h22,2,1,67676,0,+1000560081.0ns,+1001009660.0ns,449579
h1,h15,1,1,287095,0,+1001081269.0ns,+1001123242.0ns,41973
h1,h4,1,1,1298317,0,+1000849057.0ns,+1001157884.0ns,308827
h15,h22,2,1,74158,0,+1000753576.0ns,+1001171528.0ns,417952
h10,h21,2,2,28183,0,+1000767989.0ns,+1001179526.0ns,411537
h9,h22,2,1,1837985,0,+1000506454.0ns,+1001188440.0ns,681986
h16,h23,2,1,3332655,0,+1000225577.0ns,+1001207905.0ns,982328
h10,h21,2,1,171512,0,+1000684958.0ns,+1001222003.0ns,537045
h1,h3,1,1,67771,0,+1001208857.0ns,+1001223069.0ns,14212
h8,h16,1,1,26049,0,+1001225665.0ns,+1001236462.0ns,10797
h11,h8,1,1,112055,0,+1001268852.0ns,+1001293777.0ns,24925
h1,h11,1,1,936,0,+1001305617.0ns,+1001350399.0ns,44782
h8,h7,1,1,49764,0,+1001350069.0ns,+1001356280.0ns,6211
h12,h5,1,1,76,0,+1001426696.0ns,+1001432943.0ns,6247
h7,h15,1,1,71594,0,+1001444952.0ns,+1001471116.0ns,26164
h9,h3,1,1,1197046,0,+1001340906.0ns,+1001508711.0ns,167805
h16,h11,1,1,2150834,0,+1001229128.0ns,+1001516928.0ns,287800
h2,h21,2,1,25050,0,+1001109773.0ns,+1001532965.0ns,423192
h9,h8,1,1,745225,0,+1001379176.0ns,+1001538933.0ns,159757
h8,h3,1,1,24391,0,+1001526096.0ns,+1001539953.0ns,13857
h14,h22,2,1,346951,0,+1001102854.0ns,+1001542294.0ns,439440
