Time,Node,IfIndex,qIndex,PfcType,Time
+1001505688.0ns,s7,0,0,P,0
+1001505696.0ns,s7,0,0,R,0
+1001505807.0ns,s7,0,0,P,0
+1001507882.0ns,s5,0,0,P,0
+1001507957.0ns,s5,0,0,R,0
+1001508001.0ns,s5,0,0,P,0
+1001510456.0ns,s7,0,0,R,0
+1001512241.0ns,s5,0,0,R,0
+1001516503.0ns,s5,0,0,P,0
+1001516525.0ns,s5,0,0,R,0
+1001516622.0ns,s5,0,0,P,0
+1001518021.0ns,s7,0,0,P,0
+1001518072.0ns,s7,0,0,R,0
+1001518140.0ns,s7,0,0,P,0
+1001521047.0ns,s5,0,0,R,0
+1001522356.0ns,s7,0,0,R,0
+1001525309.0ns,s5,0,0,P,0
+1001525426.0ns,s5,0,0,R,0
+1001525428.0ns,s5,0,0,P,0
+1001526380.0ns,s7,0,0,P,0
+1001526497.0ns,s7,0,0,R,0
+1001526521.0ns,s7,0,0,P,0
+1001529948.0ns,s5,0,0,R,0
+1001530543.0ns,s7,0,0,R,0
+1001534126.0ns,s5,0,0,P,0
+1001534232.0ns,s5,0,0,R,0
+1001534245.0ns,s5,0,0,P,0
+1001534567.0ns,s7,0,0,P,0
+1001534589.0ns,s7,0,0,R,0
+1001534686.0ns,s7,0,0,P,0
+1001538516.0ns,s5,0,0,R,0
+1001538873.0ns,s7,0,0,R,0
+1001542540.0ns,s5,0,0,P,0
+1001542562.0ns,s5,0,0,R,0
+1001542659.0ns,s5,0,0,P,0
+1001542897.0ns,s7,0,0,P,0
+1001542919.0ns,s7,0,0,R,0
+1001543016.0ns,s7,0,0,P,0
+1001546251.0ns,s5,0,0,R,0
+1001549940.0ns,s7,0,0,R,0
+1001553012.0ns,s5,0,0,P,0
+1001553607.0ns,s7,0,0,P,0
+1001553675.0ns,s7,0,0,R,0
+1001553726.0ns,s7,0,0,P,0
+1001557364.0ns,s5,0,0,R,0
+1001558014.0ns,s7,0,0,R,0
+1001561507.0ns,s5,0,0,P,0
+1001561942.0ns,s7,0,0,P,0
+1001562062.0ns,s7,0,0,R,0
+1001562063.0ns,s7,0,0,P,0
+1001565694.0ns,s5,0,0,R,0
+1001566394.0ns,s7,0,0,R,0
+1001569837.0ns,s5,0,0,P,0
