Time,Node,PortIndex,RxByte
+1000000000.0ns,s42,0,0
+1000100000.0ns,s42,0,0
+1000200000.0ns,s42,0,0
+1000300000.0ns,s42,0,0
+1000400000.0ns,s42,0,0
+1000500000.0ns,s42,0,510403
+1000600000.0ns,s42,0,2266683
+1000700000.0ns,s42,0,4755456
+1000800000.0ns,s42,0,6738318
+1000900000.0ns,s42,0,8332621
+1001000000.0ns,s42,0,10476572
+1001100000.0ns,s42,0,12908109
+1001200000.0ns,s42,0,14757499
+1001300000.0ns,s42,0,17525722
+1001400000.0ns,s42,0,20802025
+1001500000.0ns,s42,0,22840703
+1001600000.0ns,s42,0,25430833
+1001700000.0ns,s42,0,28303843
+1001800000.0ns,s42,0,31579905
+1001900000.0ns,s42,0,34391022
+1002000000.0ns,s42,0,35771485
+1002100000.0ns,s42,0,37397333
+1002200000.0ns,s42,0,37463723
+1002300000.0ns,s42,0,37463723
+1002400000.0ns,s42,0,40054776
+1002500000.0ns,s42,0,44802764
+1002600000.0ns,s42,0,48457337
+1002700000.0ns,s42,0,51151323
+1002800000.0ns,s42,0,53816325
+1002900000.0ns,s42,0,56622663
+1003000000.0ns,s42,0,59510597
+1003100000.0ns,s42,0,63107093
+1003200000.0ns,s42,0,66572098
+1003300000.0ns,s42,0,67787249
+1003400000.0ns,s42,0,67787249
+1003500000.0ns,s42,0,67787249
+1003600000.0ns,s42,0,67787249
+1003700000.0ns,s42,0,67787249
+1003800000.0ns,s42,0,67787249
+1003900000.0ns,s42,0,67787249
+1004000000.0ns,s42,0,67787249
+1004100000.0ns,s42,0,67787249
+1004200000.0ns,s42,0,72396833
+1004300000.0ns,s42,0,77569361
+1004400000.0ns,s42,0,82742055
+1004500000.0ns,s42,0,86842940
+1004600000.0ns,s42,0,90711669
+1004700000.0ns,s42,0,94496254
+1004800000.0ns,s42,0,99018794
+1004900000.0ns,s42,0,104056131
+1005000000.0ns,s42,0,108817710
+1005100000.0ns,s42,0,109188210
+1005200000.0ns,s42,0,109188210
+1005300000.0ns,s42,0,109188210
+1005400000.0ns,s42,0,109188210
+1005500000.0ns,s42,0,109188210
+1005600000.0ns,s42,0,109188210
+1005700000.0ns,s42,0,109188210
+1005800000.0ns,s42,0,109188210
+1005900000.0ns,s42,0,109188210
+1006000000.0ns,s42,0,109188210
+1006100000.0ns,s42,0,109188210
+1006200000.0ns,s42,0,109188210
+1006300000.0ns,s42,0,109188210
+1006400000.0ns,s42,0,109188210
+1006500000.0ns,s42,0,109188210
+1006600000.0ns,s42,0,109188210
+1006700000.0ns,s42,0,109188210
+1006800000.0ns,s42,0,109188210
+1006900000.0ns,s42,0,109188210
+1007000000.0ns,s42,0,109188210
+1007100000.0ns,s42,0,109188210
+1007200000.0ns,s42,0,109188210
+1007300000.0ns,s42,0,109188210
+1007400000.0ns,s42,0,109188210
+1007500000.0ns,s42,0,109188210
+1007600000.0ns,s42,0,110515662
+1007700000.0ns,s42,0,115687375
+1007800000.0ns,s42,0,120860743
+1007900000.0ns,s42,0,126033460
+1008000000.0ns,s42,0,131205660
+1008100000.0ns,s42,0,136377507
+1008200000.0ns,s42,0,141550156
+1008300000.0ns,s42,0,146723426
+1008400000.0ns,s42,0,151868356
+1008500000.0ns,s42,0,156912617
+1008600000.0ns,s42,0,158659307
+1008700000.0ns,s42,0,158659307
+1008800000.0ns,s42,0,158659307
+1008900000.0ns,s42,0,158659307
+1009000000.0ns,s42,0,158659307
+1009100000.0ns,s42,0,158659307
+1009200000.0ns,s42,0,158659307
+1009300000.0ns,s42,0,158659307
+1009400000.0ns,s42,0,158659307
+1009500000.0ns,s42,0,158659307
+1009600000.0ns,s42,0,158659307
+1009700000.0ns,s42,0,158659307
+1009800000.0ns,s42,0,158659307
+1009900000.0ns,s42,0,158659307
+1010000000.0ns,s42,0,158659307
+1010100000.0ns,s42,0,158659307
+1010200000.0ns,s42,0,158659307
+1010300000.0ns,s42,0,158659307
+1010400000.0ns,s42,0,158659307
+1010500000.0ns,s42,0,160514259
+1010600000.0ns,s42,0,165687152
+1010700000.0ns,s42,0,170860380
+1010800000.0ns,s42,0,176032895
+1010900000.0ns,s42,0,181204857
+1011000000.0ns,s42,0,186378384
+1011100000.0ns,s42,0,191550401
+1011200000.0ns,s42,0,196724043
+1011300000.0ns,s42,0,201411476
+1011400000.0ns,s42,0,203569263
+1011500000.0ns,s42,0,203569263
+1011600000.0ns,s42,0,203569263
+1011700000.0ns,s42,0,203569263
+1011800000.0ns,s42,0,203569263
+1011900000.0ns,s42,0,203569263
+1012000000.0ns,s42,0,203569263
+1012100000.0ns,s42,0,203569263
+1012200000.0ns,s42,0,203569263
+1012300000.0ns,s42,0,204248440
+1012400000.0ns,s42,0,209309937
+1012500000.0ns,s42,0,213524280
+1012600000.0ns,s42,0,217735042
+1012700000.0ns,s42,0,221927944
+1012800000.0ns,s42,0,225686234
+1012900000.0ns,s42,0,229203143
+1013000000.0ns,s42,0,232585914
+1013100000.0ns,s42,0,235799649
+1013200000.0ns,s42,0,239378722
+1013300000.0ns,s42,0,242933631
+1013400000.0ns,s42,0,246075525
+1013500000.0ns,s42,0,249177436
+1013600000.0ns,s42,0,252341970
+1013700000.0ns,s42,0,255574648
+1013800000.0ns,s42,0,258772900
+1013900000.0ns,s42,0,261890625
+1014000000.0ns,s42,0,264915943
+1014100000.0ns,s42,0,268286973
+1014200000.0ns,s42,0,271636473
+1014300000.0ns,s42,0,274527275
+1014400000.0ns,s42,0,278005742
+1014500000.0ns,s42,0,280455189
+1014600000.0ns,s42,0,282696486
+1014700000.0ns,s42,0,285037986
+1014800000.0ns,s42,0,287476986
+1014900000.0ns,s42,0,289796739
+1015000000.0ns,s42,0,291877847
+1015100000.0ns,s42,0,293977713
+1015200000.0ns,s42,0,295905343
+1015300000.0ns,s42,0,298021843
+1015400000.0ns,s42,0,300248215
+1015500000.0ns,s42,0,302188658
+1015600000.0ns,s42,0,304052957
+1015700000.0ns,s42,0,306110221
+1015800000.0ns,s42,0,308082721
+1015900000.0ns,s42,0,309899127
+1016000000.0ns,s42,0,311931627
+1016100000.0ns,s42,0,313690185
+1016200000.0ns,s42,0,315230685
+1016300000.0ns,s42,0,316980801
+1016400000.0ns,s42,0,318807801
+1016500000.0ns,s42,0,320355801
+1016600000.0ns,s42,0,322019301
+1016700000.0ns,s42,0,323817801
+1016800000.0ns,s42,0,325602801
+1016900000.0ns,s42,0,327369801
+1017000000.0ns,s42,0,329184711
+1017100000.0ns,s42,0,330773211
+1017200000.0ns,s42,0,332213211
+1017300000.0ns,s42,0,333759026
+1017400000.0ns,s42,0,335370026
+1017500000.0ns,s42,0,336835526
+1017600000.0ns,s42,0,338413526
+1017700000.0ns,s42,0,339997526
+1017800000.0ns,s42,0,341287526
+1017900000.0ns,s42,0,342714026
+1018000000.0ns,s42,0,344403026
+1018100000.0ns,s42,0,345647479
+1018200000.0ns,s42,0,346932355
+1018300000.0ns,s42,0,348460855
+1018400000.0ns,s42,0,349773419
+1018500000.0ns,s42,0,351390978
+1018600000.0ns,s42,0,352610791
+1018700000.0ns,s42,0,353093791
+1018800000.0ns,s42,0,353582791
+1018900000.0ns,s42,0,354049291
+1019000000.0ns,s42,0,354533791
+1019100000.0ns,s42,0,355021291
+1019200000.0ns,s42,0,355492291
+1019300000.0ns,s42,0,355973791
+1019400000.0ns,s42,0,356507791
+1019500000.0ns,s42,0,357022291
+1019600000.0ns,s42,0,357515862
+1019700000.0ns,s42,0,357982362
+1019800000.0ns,s42,0,358444362
+1019900000.0ns,s42,0,358743226
+1020000000.0ns,s42,0,359031226
+1020100000.0ns,s42,0,359301226
+1020200000.0ns,s42,0,359586226
+1020300000.0ns,s42,0,359934226
+1020400000.0ns,s42,0,360258226
+1020500000.0ns,s42,0,360534226
+1020600000.0ns,s42,0,360871726
+1020700000.0ns,s42,0,361288726
+1020800000.0ns,s42,0,361918726
+1020900000.0ns,s42,0,362550226
+1021000000.0ns,s42,0,363180226
+1021100000.0ns,s42,0,363810226
+1021200000.0ns,s42,0,364440226
+1021300000.0ns,s42,0,365070226
+1021400000.0ns,s42,0,365700226
+1021500000.0ns,s42,0,366330226
+1021600000.0ns,s42,0,367113226
+1021700000.0ns,s42,0,367774433
+1021800000.0ns,s42,0,368684933
