Time,Node,IfIndex,qIndex,PfcType,Time
+1009256384.0ns,s43,0,0,P,0
+1009256436.0ns,s43,0,0,R,0
+1009256445.0ns,s43,0,0,P,0
+1009256473.0ns,s43,0,0,R,0
+1009256474.0ns,s43,0,0,P,0
+1009260601.0ns,s43,0,0,R,0
+1009263558.0ns,s43,0,0,P,0
+1009263576.0ns,s43,0,0,R,0
+1009263587.0ns,s43,0,0,P,0
+1009263611.0ns,s43,0,0,R,0
+1009263616.0ns,s43,0,0,P,0
+1009268812.0ns,s43,0,0,R,0
+1009271769.0ns,s43,0,0,P,0
+1009271787.0ns,s43,0,0,R,0
+1009271798.0ns,s43,0,0,P,0
+1009277023.0ns,s43,0,0,R,0
+1009279980.0ns,s43,0,0,P,0
+1009279998.0ns,s43,0,0,R,0
+1009280009.0ns,s43,0,0,P,0
+1009280033.0ns,s43,0,0,R,0
+1009280038.0ns,s43,0,0,P,0
+1009285234.0ns,s43,0,0,R,0
+1009288191.0ns,s43,0,0,P,0
+1009288209.0ns,s43,0,0,R,0
+1009288220.0ns,s43,0,0,P,0
+1009292612.0ns,s43,0,0,R,0
+1009295569.0ns,s43,0,0,P,0
+1009295587.0ns,s43,0,0,R,0
+1009295627.0ns,s43,0,0,P,0
+1009299758.0ns,s43,0,0,R,0
+1009303179.0ns,s43,0,0,P,0
+1009303203.0ns,s43,0,0,R,0
+1009303208.0ns,s43,0,0,P,0
+1009303215.0ns,s43,0,0,R,0
+1009303237.0ns,s43,0,0,P,0
+1009307380.0ns,s43,0,0,R,0
+1009311033.0ns,s43,0,0,P,0
+1009311057.0ns,s43,0,0,R,0
+1009311062.0ns,s43,0,0,P,0
+1009311075.0ns,s43,0,0,R,0
+1009311091.0ns,s43,0,0,P,0
+1009315240.0ns,s43,0,0,R,0
+1009319009.0ns,s43,0,0,P,0
+1009319030.0ns,s43,0,0,R,0
+1009319038.0ns,s43,0,0,P,0
+1009319054.0ns,s43,0,0,R,0
+1009319067.0ns,s43,0,0,P,0
+1009323219.0ns,s43,0,0,R,0
+1009327075.0ns,s43,0,0,P,0
+1009331198.0ns,s43,0,0,R,0
+1009335083.0ns,s43,0,0,P,0
+1009335095.0ns,s43,0,0,R,0
+1009335112.0ns,s43,0,0,P,0
+1009339260.0ns,s43,0,0,R,0
+1009343145.0ns,s43,0,0,P,0
+1009343193.0ns,s43,0,0,R,0
+1009343203.0ns,s43,0,0,P,0
+1009347352.0ns,s43,0,0,R,0
+1009351295.0ns,s43,0,0,P,0
+1009351314.0ns,s43,0,0,R,0
+1009351324.0ns,s43,0,0,P,0
+1009351336.0ns,s43,0,0,R,0
+1009351353.0ns,s43,0,0,P,0
+1009355501.0ns,s43,0,0,R,0
+1009359386.0ns,s43,0,0,P,0
+1009359406.0ns,s43,0,0,R,0
+1009359415.0ns,s43,0,0,P,0
+1009359428.0ns,s43,0,0,R,0
+1009359444.0ns,s43,0,0,P,0
+1009363593.0ns,s43,0,0,R,0
+1009367478.0ns,s43,0,0,P,0
+1009367498.0ns,s43,0,0,R,0
+1009367507.0ns,s43,0,0,P,0
+1009367520.0ns,s43,0,0,R,0
+1009367536.0ns,s43,0,0,P,0
+1009371685.0ns,s43,0,0,R,0
+1009375570.0ns,s43,0,0,P,0
+1009375590.0ns,s43,0,0,R,0
+1009375599.0ns,s43,0,0,P,0
+1009375612.0ns,s43,0,0,R,0
+1009375628.0ns,s43,0,0,P,0
+1009379777.0ns,s43,0,0,R,0
+1009383662.0ns,s43,0,0,P,0
+1009383682.0ns,s43,0,0,R,0
+1009383691.0ns,s43,0,0,P,0
+1009383704.0ns,s43,0,0,R,0
+1009383720.0ns,s43,0,0,P,0
+1009387869.0ns,s43,0,0,R,0
+1009391754.0ns,s43,0,0,P,0
+1009391774.0ns,s43,0,0,R,0
+1009391783.0ns,s43,0,0,P,0
+1009391796.0ns,s43,0,0,R,0
+1009391812.0ns,s43,0,0,P,0
+1009395961.0ns,s43,0,0,R,0
+1009399846.0ns,s43,0,0,P,0
+1009399866.0ns,s43,0,0,R,0
+1009399875.0ns,s43,0,0,P,0
+1009399888.0ns,s43,0,0,R,0
+1009399904.0ns,s43,0,0,P,0
+1009404053.0ns,s43,0,0,R,0
+1009407938.0ns,s43,0,0,P,0
+1009407958.0ns,s43,0,0,R,0
+1009407967.0ns,s43,0,0,P,0
+1009407980.0ns,s43,0,0,R,0
+1009407996.0ns,s43,0,0,P,0
+1009412145.0ns,s43,0,0,R,0
+1009416030.0ns,s43,0,0,P,0
+1009416050.0ns,s43,0,0,R,0
+1009416059.0ns,s43,0,0,P,0
+1009416072.0ns,s43,0,0,R,0
+1009416088.0ns,s43,0,0,P,0
+1009420237.0ns,s43,0,0,R,0
+1009424122.0ns,s43,0,0,P,0
+1009424142.0ns,s43,0,0,R,0
+1009424151.0ns,s43,0,0,P,0
+1009424164.0ns,s43,0,0,R,0
+1009424180.0ns,s43,0,0,P,0
+1009428426.0ns,s43,0,0,R,0
+1009432340.0ns,s43,0,0,P,0
+1009432353.0ns,s43,0,0,R,0
+1009432369.0ns,s43,0,0,P,0
+1009432375.0ns,s43,0,0,R,0
+1009432398.0ns,s43,0,0,P,0
+1009436540.0ns,s43,0,0,R,0
+1009440425.0ns,s43,0,0,P,0
+1009440445.0ns,s43,0,0,R,0
+1009440454.0ns,s43,0,0,P,0
+1009440467.0ns,s43,0,0,R,0
+1009440483.0ns,s43,0,0,P,0
+1009442944.0ns,s43,0,0,R,0
+1012524689.0ns,s43,0,0,P,0
+1012524699.0ns,s43,0,0,R,0
+1012524718.0ns,s43,0,0,P,0
+1012524718.0ns,s43,0,0,R,0
+1012524747.0ns,s43,0,0,P,0
+1012528864.0ns,s43,0,0,R,0
+1012531821.0ns,s43,0,0,P,0
+1012531839.0ns,s43,0,0,R,0
+1012531850.0ns,s43,0,0,P,0
+1012531874.0ns,s43,0,0,R,0
+1012531879.0ns,s43,0,0,P,0
+1012536039.0ns,s43,0,0,R,0
+1012539054.0ns,s43,0,0,P,0
+1012543185.0ns,s43,0,0,R,0
+1012547070.0ns,s43,0,0,P,0
+1012547071.0ns,s43,0,0,R,0
+1012547099.0ns,s43,0,0,P,0
+1012547112.0ns,s43,0,0,R,0
+1012547128.0ns,s43,0,0,P,0
+1012551277.0ns,s43,0,0,R,0
+1012555162.0ns,s43,0,0,P,0
+1012555163.0ns,s43,0,0,R,0
+1012555191.0ns,s43,0,0,P,0
+1012555204.0ns,s43,0,0,R,0
+1012555220.0ns,s43,0,0,P,0
+1012559369.0ns,s43,0,0,R,0
+1012563254.0ns,s43,0,0,P,0
+1012563255.0ns,s43,0,0,R,0
