FromNode,ToNode,SourcePort,DestinationPort,Size,Priority,StartTime,EndTime,Duration
h29,h18,3,1,54747,0,+1000151073.0ns,+1000162168.0ns,11095
h24,h25,3,1,25891,0,+1000164927.0ns,+1000173651.0ns,8724
h22,h32,3,1,75678,0,+1000236874.0ns,+1000249691.0ns,12817
h19,h29,3,1,51138,0,+1000249027.0ns,+1000268074.0ns,19047
h20,h30,3,1,1579544,0,+1000136736.0ns,+1000277348.0ns,140612
h28,h32,3,1,30662,0,+1000320603.0ns,+1000329721.0ns,9118
h21,h28,3,1,67676,0,+1000326714.0ns,+1000338872.0ns,12158
h32,h29,3,1,3332655,0,+1000131587.0ns,+1000414036.0ns,282449
h26,h23,3,1,171512,0,+1000399558.0ns,+1000420251.0ns,20693
h25,h26,3,1,1837985,0,+1000295431.0ns,+1000450983.0ns,155552
h31,h26,3,1,74158,0,+1000439586.0ns,+1000454700.0ns,15114
h26,h21,3,1,28183,0,+1000447993.0ns,+1000459170.0ns,11177
h18,h21,3,1,25050,0,+1000647367.0ns,+1000660318.0ns,12951
h30,h25,3,1,346951,0,+1000643331.0ns,+1000681252.0ns,37921
h13,h20,2,1,54747,0,+1000258983.0ns,+1000683280.0ns,424297
h8,h22,2,1,25891,0,+1000282732.0ns,+1000697853.0ns,415121
h21,h20,3,1,1558042,0,+1000618278.0ns,+1000804779.0ns,186501
h6,h23,2,1,75678,0,+1000406071.0ns,+1000829430.0ns,423359
h3,h23,2,1,51138,0,+1000426903.0ns,+1000852437.0ns,425534
h28,h32,3,2,32029,0,+1000846281.0ns,+1000855512.0ns,9231
h4,h23,2,1,1579544,0,+1000234405.0ns,+1000912991.0ns,678586
h29,h23,3,1,6713,0,+1000909963.0ns,+1000924254.0ns,14291
h29,h27,3,1,66648,0,+1000909442.0ns,+1000925784.0ns,16342
h31,h30,3,1,871871,0,+1000870312.0ns,+1000946325.0ns,76013
h30,h32,3,1,57885,0,+1000939122.0ns,+1000948237.0ns,9115
h17,h20,3,1,1298317,0,+1000849057.0ns,+1001042379.0ns,193322
h16,h23,2,1,3332655,0,+1000225577.0ns,+1001051176.0ns,825599
h12,h23,2,1,30662,0,+1000549606.0ns,+1001088296.0ns,538690
h5,h22,2,1,67676,0,+1000560081.0ns,+1001104926.0ns,544845
h17,h31,3,1,287095,0,+1001081269.0ns,+1001111461.0ns,30192
h15,h22,2,1,74158,0,+1000753576.0ns,+1001176592.0ns,423016
h10,h21,2,2,28183,0,+1000767989.0ns,+1001183415.0ns,415426
h9,h22,2,1,1837985,0,+1000506454.0ns,+1001205432.0ns,698978
h22,h21,3,1,5579491,0,+1000406300.0ns,+1001205750.0ns,799450
h10,h21,2,1,171512,0,+1000684958.0ns,+1001217230.0ns,532272
h17,h19,3,1,67771,0,+1001208857.0ns,+1001228754.0ns,19897
h24,h32,3,1,26049,0,+1001225665.0ns,+1001235807.0ns,10142
h27,h24,3,1,112055,0,+1001268852.0ns,+1001293777.0ns,24925
h17,h27,3,1,936,0,+1001305617.0ns,+1001324982.0ns,19365
h24,h23,3,1,49764,0,+1001350069.0ns,+1001356280.0ns,6211
h28,h21,3,1,76,0,+1001426696.0ns,+1001434177.0ns,7481
h23,h31,3,1,71594,0,+1001444952.0ns,+1001468976.0ns,24024
h25,h19,3,1,1197046,0,+1001340906.0ns,+1001513590.0ns,172684
h25,h24,3,1,745225,0,+1001379176.0ns,+1001538996.0ns,159820
h32,h27,3,1,2150834,0,+1001229128.0ns,+1001553272.0ns,324144
h14,h22,2,1,346951,0,+1001102854.0ns,+1001572763.0ns,469909
h18,h27,3,1,35040,0,+1001562214.0ns,+1001584120.0ns,21906
h27,h25,3,1,5929360,0,+1001089356.0ns,+1001590214.0ns,500858
h29,h17,3,1,3959297,0,+1001220445.0ns,+1001592054.0ns,371609
h2,h21,2,1,25050,0,+1001109773.0ns,+1001605932.0ns,496159
h29,h26,3,1,144304,0,+1001602942.0ns,+1001630218.0ns,27276
h17,h20,3,2,18213,0,+1001576748.0ns,+1001630569.0ns,53821
h19,h26,3,1,23861,0,+1001647658.0ns,+1001660066.0ns,12408
h19,h28,3,1,4965148,0,+1000852688.0ns,+1001677303.0ns,824615
h19,h27,3,1,5154710,0,+1000846235.0ns,+1001686468.0ns,840233
h22,h19,3,1,2306517,0,+1000803872.0ns,+1001701122.0ns,897250
h31,h24,3,1,2745349,0,+1001373685.0ns,+1001738727.0ns,365042
