Time,Node,PortIndex,RxByte
+1000000000.0ns,s44,0,0
+1000100000.0ns,s44,0,0
+1000200000.0ns,s44,0,0
+1000300000.0ns,s44,0,0
+1000400000.0ns,s44,0,0
+1000500000.0ns,s44,0,0
+1000600000.0ns,s44,0,0
+1000700000.0ns,s44,0,871050
+1000800000.0ns,s44,0,2708550
+1000900000.0ns,s44,0,3546270
+1001000000.0ns,s44,0,5415196
+1001100000.0ns,s44,0,7429580
+1001200000.0ns,s44,0,7801865
+1001300000.0ns,s44,0,8302865
+1001400000.0ns,s44,0,8644865
+1001500000.0ns,s44,0,9162365
+1001600000.0ns,s44,0,10551282
+1001700000.0ns,s44,0,12223776
+1001800000.0ns,s44,0,13434276
+1001900000.0ns,s44,0,15129501
+1002000000.0ns,s44,0,17884566
+1002100000.0ns,s44,0,20772992
+1002200000.0ns,s44,0,22808719
+1002300000.0ns,s44,0,24845719
+1002400000.0ns,s44,0,27370662
+1002500000.0ns,s44,0,30048162
+1002600000.0ns,s44,0,33488258
+1002700000.0ns,s44,0,36877461
+1002800000.0ns,s44,0,41322545
+1002900000.0ns,s44,0,45576095
+1003000000.0ns,s44,0,49944095
+1003100000.0ns,s44,0,54776289
+1003200000.0ns,s44,0,59609353
+1003300000.0ns,s44,0,63669119
+1003400000.0ns,s44,0,67402392
+1003500000.0ns,s44,0,71099237
+1003600000.0ns,s44,0,74419984
+1003700000.0ns,s44,0,77570559
+1003800000.0ns,s44,0,80102958
+1003900000.0ns,s44,0,83098960
+1004000000.0ns,s44,0,86223039
+1004100000.0ns,s44,0,89222274
+1004200000.0ns,s44,0,92323328
+1004300000.0ns,s44,0,95386621
+1004400000.0ns,s44,0,98651099
+1004500000.0ns,s44,0,101517890
+1004600000.0ns,s44,0,104204390
+1004700000.0ns,s44,0,106800859
+1004800000.0ns,s44,0,109787929
+1004900000.0ns,s44,0,111778346
+1005000000.0ns,s44,0,114307346
+1005100000.0ns,s44,0,116345013
+1005200000.0ns,s44,0,117462082
+1005300000.0ns,s44,0,119581582
+1005400000.0ns,s44,0,121759582
+1005500000.0ns,s44,0,123952582
+1005600000.0ns,s44,0,126135316
+1005700000.0ns,s44,0,129261316
+1005800000.0ns,s44,0,132202919
+1005900000.0ns,s44,0,135097919
+1006000000.0ns,s44,0,139336444
+1006100000.0ns,s44,0,144508037
+1006200000.0ns,s44,0,149681537
+1006300000.0ns,s44,0,154853561
+1006400000.0ns,s44,0,160026545
+1006500000.0ns,s44,0,165198709
+1006600000.0ns,s44,0,170370665
+1006700000.0ns,s44,0,175537456
+1006800000.0ns,s44,0,177781077
+1006900000.0ns,s44,0,179906936
+1007000000.0ns,s44,0,182011436
+1007100000.0ns,s44,0,185714608
